method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,407,20.4,0.0003339641261845827,0.00043036988063249737,1.36
SVSNN,407,34.35,0.0002246186850243248,0.0007034138543531299,2.29
SPINN,50307,73.49,1.0012702345848083,1.2507244944572449,4.9
SIREN,82947,122.05,0.007572132162749767,0.009044767823070288,8.14
FourierPINN,66435,104.61,0.007455017883330584,0.007633197819814086,6.97
PINN,50307,85.56,0.00997744407504797,0.01883874461054802,5.7
