# iteration  loss_bc  loss_res  l2_error
9.900000e+03 4.798641e-01 1.602339e+01 4.016227e-01
1.000000e+04 4.776657e-01 1.061586e+01 4.012462e-01
1.010000e+04 4.815432e-01 1.332980e+01 4.008043e-01
1.020000e+04 4.855915e-01 1.683181e+02 3.997030e-01
1.030000e+04 4.902291e-01 4.589022e+02 3.994398e-01
1.040000e+04 4.808492e-01 3.665187e+02 4.026164e-01
1.050000e+04 4.820227e-01 5.237046e+01 4.030810e-01
1.060000e+04 4.822906e-01 2.569872e+01 4.024866e-01
1.070000e+04 4.802511e-01 5.093779e+01 4.027612e-01
1.080000e+04 4.811677e-01 3.006099e+01 4.015598e-01
1.090000e+04 4.906996e-01 1.068053e+02 4.010510e-01
1.100000e+04 4.832754e-01 2.095875e+02 4.018956e-01
1.110000e+04 4.919599e-01 3.102386e+02 4.011038e-01
1.120000e+04 4.800346e-01 8.665685e+01 4.036418e-01
1.130000e+04 4.828344e-01 1.050889e+02 4.037647e-01
1.140000e+04 4.862939e-01 6.627600e+01 4.037570e-01
1.150000e+04 4.856405e-01 2.944360e+01 4.028817e-01
1.160000e+04 4.858152e-01 3.526633e+01 4.025390e-01
1.170000e+04 4.867250e-01 1.087455e+02 4.022834e-01
1.180000e+04 4.814295e-01 4.852887e+01 4.031829e-01
1.190000e+04 4.765517e-01 2.121597e+02 4.041609e-01
1.200000e+04 4.857953e-01 1.076118e+02 4.042066e-01
1.210000e+04 4.832466e-01 1.183978e+02 4.032383e-01
1.220000e+04 4.788493e-01 7.598686e+01 4.031696e-01
1.230000e+04 4.888676e-01 1.851288e+02 4.032285e-01
1.240000e+04 4.961458e-01 1.229454e+02 4.051575e-01
1.250000e+04 4.909671e-01 3.951750e+01 4.039495e-01
1.260000e+04 4.910811e-01 2.208801e+01 4.042299e-01
1.270000e+04 4.892200e-01 3.546976e+01 4.036606e-01
1.280000e+04 4.864112e-01 9.970904e+01 4.039064e-01
1.290000e+04 4.831367e-01 6.311939e+01 4.036555e-01
1.300000e+04 4.843875e-01 6.140500e+01 4.036171e-01
1.310000e+04 4.855613e-01 1.096235e+02 4.037739e-01
1.320000e+04 4.853331e-01 8.844819e+01 4.046420e-01
1.330000e+04 4.856080e-01 3.182411e+01 4.038786e-01
1.340000e+04 4.831786e-01 2.947069e+01 4.036893e-01
1.350000e+04 4.814612e-01 3.139460e+01 4.036966e-01
1.360000e+04 4.864128e-01 2.515966e+01 4.028080e-01
1.370000e+04 4.851242e-01 3.649815e+01 4.024357e-01
1.380000e+04 4.874627e-01 2.121695e+02 4.027565e-01
1.390000e+04 4.696535e-01 1.806190e+02 4.046948e-01
1.400000e+04 4.833278e-01 3.686439e+01 4.039726e-01
1.410000e+04 4.854230e-01 1.503784e+01 4.035753e-01
1.420000e+04 4.856870e-01 1.084251e+01 4.025417e-01
1.430000e+04 4.842328e-01 4.996931e+01 4.024683e-01
1.440000e+04 4.865054e-01 3.990382e+01 4.024408e-01
1.450000e+04 4.780856e-01 8.347203e+01 4.028482e-01
1.460000e+04 4.905951e-01 1.372315e+02 4.035415e-01
1.470000e+04 4.804977e-01 5.059502e+01 4.026839e-01
1.480000e+04 4.808187e-01 6.943990e+01 4.023536e-01
1.490000e+04 4.867175e-01 1.794998e+01 4.023223e-01
1.500000e+04 4.829322e-01 2.763337e+01 4.017200e-01
1.510000e+04 4.869454e-01 3.516603e+01 4.014436e-01
1.520000e+04 4.805607e-01 2.634281e+01 4.014590e-01
1.530000e+04 4.839596e-01 5.829709e+01 4.011316e-01
1.540000e+04 4.841291e-01 7.322586e+01 4.002178e-01
1.550000e+04 4.882756e-01 1.126354e+02 4.002917e-01
1.560000e+04 4.798063e-01 5.177390e+01 4.011462e-01
1.570000e+04 4.802966e-01 3.683556e+01 4.007913e-01
1.580000e+04 4.828035e-01 1.889111e+01 4.001839e-01
1.590000e+04 4.825619e-01 1.222749e+01 4.001203e-01
1.600000e+04 4.827411e-01 1.182027e+01 3.996905e-01
1.610000e+04 4.801751e-01 3.789687e+01 3.995974e-01
1.620000e+04 4.717845e-01 1.837039e+02 4.003932e-01
1.630000e+04 4.782527e-01 9.157970e+01 4.000155e-01
1.640000e+04 4.734907e-01 2.940379e+01 4.007813e-01
1.650000e+04 4.798904e-01 2.172600e+01 4.001203e-01
1.660000e+04 4.805101e-01 2.113375e+01 3.995636e-01
1.670000e+04 4.781215e-01 1.088797e+01 3.996072e-01
1.680000e+04 4.800168e-01 1.859756e+02 3.998910e-01
1.690000e+04 4.751140e-01 9.663889e+01 3.998669e-01
1.700000e+04 4.788564e-01 1.108270e+01 3.998016e-01
1.710000e+04 4.819410e-01 9.062744e+00 3.993585e-01
1.720000e+04 4.812691e-01 9.494368e+00 3.988419e-01
1.730000e+04 4.775417e-01 7.647105e+00 3.983776e-01
1.740000e+04 4.775550e-01 6.792183e+01 3.978226e-01
1.750000e+04 4.776915e-01 3.294604e+01 3.984997e-01
1.760000e+04 4.766191e-01 1.828141e+01 3.984121e-01
1.770000e+04 4.783831e-01 2.080849e+01 3.976053e-01
1.780000e+04 4.731691e-01 8.773277e+00 3.973074e-01
1.790000e+04 4.722801e-01 1.272646e+01 3.975518e-01
1.800000e+04 4.719139e-01 2.601427e+01 3.968140e-01
1.810000e+04 4.727715e-01 3.680249e+01 3.965737e-01
1.820000e+04 4.706007e-01 4.092044e+01 3.966489e-01
1.830000e+04 4.689237e-01 4.734096e+01 3.964236e-01
1.840000e+04 4.702428e-01 1.836377e+01 3.960253e-01
1.850000e+04 4.698151e-01 2.541746e+01 3.958820e-01
1.860000e+04 4.696742e-01 3.153752e+01 3.953053e-01
1.870000e+04 4.683348e-01 3.629678e+01 3.946513e-01
1.880000e+04 4.683441e-01 1.001432e+01 3.952054e-01
1.890000e+04 4.710506e-01 6.887638e+00 3.950496e-01
1.900000e+04 4.705840e-01 8.264214e+00 3.944506e-01
1.910000e+04 4.716777e-01 1.647965e+01 3.943818e-01
1.920000e+04 4.697598e-01 1.772404e+01 3.935736e-01
1.930000e+04 4.674826e-01 2.943170e+01 3.934967e-01
1.940000e+04 4.653929e-01 2.603108e+01 3.934194e-01
1.950000e+04 4.679314e-01 1.870834e+01 3.935981e-01
1.960000e+04 4.622138e-01 1.956723e+01 3.932039e-01
1.970000e+04 4.590397e-01 2.231413e+01 3.931426e-01
1.980000e+04 4.629604e-01 2.024156e+01 3.928257e-01
1.990000e+04 4.618448e-01 1.274896e+01 3.920048e-01
2.000000e+04 4.597564e-01 5.870790e+00 3.919107e-01
2.010000e+04 4.574520e-01 2.433385e+01 3.914869e-01
2.020000e+04 4.581223e-01 1.672553e+01 3.910834e-01
2.030000e+04 4.596635e-01 3.164104e+01 3.921640e-01
2.040000e+04 4.586165e-01 7.183283e+00 3.909853e-01
2.050000e+04 4.562259e-01 1.662690e+01 3.904645e-01
2.060000e+04 4.546248e-01 2.171881e+01 3.903857e-01
2.070000e+04 4.602100e-01 4.786414e+01 3.900822e-01
2.080000e+04 4.529049e-01 2.436305e+01 3.901340e-01
2.090000e+04 4.564156e-01 8.792629e+00 3.895105e-01
2.100000e+04 4.556912e-01 1.280347e+01 3.895420e-01
2.110000e+04 4.558952e-01 1.009948e+01 3.896632e-01
2.120000e+04 4.547333e-01 8.891331e+00 3.886826e-01
2.130000e+04 4.527343e-01 8.158167e+00 3.880560e-01
2.140000e+04 4.519966e-01 1.577107e+01 3.880495e-01
2.150000e+04 4.510970e-01 2.593877e+01 3.878223e-01
2.160000e+04 4.485056e-01 3.037462e+01 3.870412e-01
2.170000e+04 4.507557e-01 1.035129e+01 3.871730e-01
2.180000e+04 4.507794e-01 7.917930e+00 3.871163e-01
2.190000e+04 4.477169e-01 1.660559e+01 3.868626e-01
2.200000e+04 4.486586e-01 3.672543e+00 3.862144e-01
2.210000e+04 4.482135e-01 9.549688e+00 3.858162e-01
2.220000e+04 4.462304e-01 2.106139e+01 3.853151e-01
2.230000e+04 4.444984e-01 9.345165e+00 3.857094e-01
2.240000e+04 4.445493e-01 1.697951e+01 3.851054e-01
2.250000e+04 4.463256e-01 1.465573e+01 3.847116e-01
2.260000e+04 4.449981e-01 6.743987e+00 3.843339e-01
2.270000e+04 4.429701e-01 8.960979e+00 3.840973e-01
2.280000e+04 4.433351e-01 1.756004e+01 3.840849e-01
2.290000e+04 4.408276e-01 2.317015e+01 3.840005e-01
2.300000e+04 4.427601e-01 9.065516e+00 3.834900e-01
2.310000e+04 4.434508e-01 5.329987e+00 3.828615e-01
2.320000e+04 4.418519e-01 5.168266e+00 3.829364e-01
2.330000e+04 4.401658e-01 2.379276e+00 3.822881e-01
2.340000e+04 4.394039e-01 3.636975e+00 3.820665e-01
2.350000e+04 4.384747e-01 1.133232e+01 3.814497e-01
2.360000e+04 4.357343e-01 2.479533e+01 3.807672e-01
2.370000e+04 4.393381e-01 1.328600e+01 3.809100e-01
2.380000e+04 4.366077e-01 8.745119e+00 3.804352e-01
2.390000e+04 4.334658e-01 5.666789e+00 3.805599e-01
2.400000e+04 4.338349e-01 1.465966e+01 3.801504e-01
2.410000e+04 4.326108e-01 1.018887e+01 3.800234e-01
2.420000e+04 4.312973e-01 5.868131e+00 3.801640e-01
2.430000e+04 4.298832e-01 5.808916e+00 3.793943e-01
2.440000e+04 4.331008e-01 4.324473e+00 3.789879e-01
2.450000e+04 4.323814e-01 5.294405e+00 3.787864e-01
2.460000e+04 4.318017e-01 4.806521e+00 3.784936e-01
2.470000e+04 4.311558e-01 8.406521e+00 3.780255e-01
2.480000e+04 4.276875e-01 1.812778e+01 3.782719e-01
2.490000e+04 4.264419e-01 8.790807e+00 3.777267e-01
2.500000e+04 4.290149e-01 4.408978e+00 3.773785e-01
2.510000e+04 4.275507e-01 6.126675e+00 3.770810e-01
2.520000e+04 4.237631e-01 8.902164e+00 3.768725e-01
2.530000e+04 4.250451e-01 7.198864e+00 3.764780e-01
2.540000e+04 4.272220e-01 5.560305e+00 3.762414e-01
2.550000e+04 4.240055e-01 7.675005e+00 3.761075e-01
2.560000e+04 4.240680e-01 5.435471e+00 3.755772e-01
2.570000e+04 4.240438e-01 4.148304e+00 3.751574e-01
2.580000e+04 4.227314e-01 4.208777e+00 3.748696e-01
2.590000e+04 4.227725e-01 4.931477e+00 3.744669e-01
2.600000e+04 4.215430e-01 9.577648e+00 3.741003e-01
2.610000e+04 4.203603e-01 1.690434e+01 3.739443e-01
2.620000e+04 4.196444e-01 3.042240e+00 3.737204e-01
2.630000e+04 4.183587e-01 3.101204e+00 3.733708e-01
2.640000e+04 4.195098e-01 6.906088e+00 3.728955e-01
2.650000e+04 4.192593e-01 4.866004e+00 3.726433e-01
2.660000e+04 4.152472e-01 8.119829e+00 3.725447e-01
2.670000e+04 4.178321e-01 8.174129e+00 3.720662e-01
2.680000e+04 4.178364e-01 3.324573e+00 3.715356e-01
2.690000e+04 4.150383e-01 3.225631e+00 3.715216e-01
2.700000e+04 4.162741e-01 4.684058e+00 3.712335e-01
2.710000e+04 4.149138e-01 3.333565e+00 3.708247e-01
2.720000e+04 4.130592e-01 6.828113e+00 3.705251e-01
2.730000e+04 4.129804e-01 6.557219e+00 3.703162e-01
2.740000e+04 4.114361e-01 3.731188e+00 3.702346e-01
2.750000e+04 4.109722e-01 5.616668e+00 3.699300e-01
2.760000e+04 4.094769e-01 7.823030e+00 3.697102e-01
2.770000e+04 4.108817e-01 5.033926e+00 3.692017e-01
2.780000e+04 4.081711e-01 6.829107e+00 3.690259e-01
2.790000e+04 4.090089e-01 3.391792e+00 3.688085e-01
2.800000e+04 4.066603e-01 3.594074e+00 3.683265e-01
2.810000e+04 4.060209e-01 7.823579e+00 3.678706e-01
2.820000e+04 4.073074e-01 8.637777e+00 3.676815e-01
2.830000e+04 4.057772e-01 6.619760e+00 3.677996e-01
2.840000e+04 4.057992e-01 4.860212e+00 3.673700e-01
