# iteration  loss_bc  loss_res  l2_error
9.900000e+03 2.918264e-04 1.769103e+01 1.183861e-02
1.000000e+04 1.704373e-04 5.367118e+01 5.797840e-03
1.010000e+04 1.373316e-04 3.771157e+01 1.119979e-02
1.020000e+04 5.894200e-04 1.787398e+02 2.514559e-02
1.030000e+04 4.151856e-04 1.294594e+02 1.359077e-02
1.040000e+04 7.181600e-05 9.598689e+01 2.214219e-02
1.050000e+04 3.819161e-04 4.877302e+01 1.124685e-02
1.060000e+04 1.999768e-04 2.813941e+01 1.326014e-02
1.070000e+04 1.455556e-04 4.785815e+01 9.780769e-03
1.080000e+04 1.570771e-04 2.849524e+02 1.496628e-02
1.090000e+04 3.616174e-04 6.133203e+02 2.132043e-02
1.100000e+04 1.688895e-04 9.255409e+01 2.912807e-02
1.110000e+04 2.747454e-04 9.877818e+00 8.022656e-03
1.120000e+04 2.636563e-04 9.771563e+00 7.947400e-03
1.130000e+04 1.934826e-04 6.457485e+00 8.739806e-03
1.140000e+04 1.413889e-04 9.178248e+00 6.879933e-03
1.150000e+04 1.585391e-04 1.394709e+01 8.876568e-03
1.160000e+04 2.293277e-04 3.507047e+01 7.392703e-03
1.170000e+04 1.652295e-04 2.406805e+01 8.790822e-03
1.180000e+04 7.378783e-05 2.946274e+01 5.738807e-03
1.190000e+04 4.723653e-04 3.202998e+02 2.152830e-02
1.200000e+04 1.729301e-04 7.975747e+01 1.672221e-02
1.210000e+04 1.838346e-04 4.262994e+01 2.171466e-02
1.220000e+04 1.651399e-04 3.911738e+01 6.897525e-03
1.230000e+04 1.569474e-04 7.883704e+01 1.387933e-02
1.240000e+04 1.646535e-04 5.349400e+01 1.182950e-02
1.250000e+04 6.317355e-05 9.813607e+01 7.433566e-03
1.260000e+04 1.609233e-04 2.718355e+01 1.086567e-02
1.270000e+04 1.819352e-04 2.880709e+01 6.491193e-03
1.280000e+04 9.591484e-05 1.999224e+01 1.223807e-02
1.290000e+04 1.051879e-04 4.048730e+01 1.335798e-02
1.300000e+04 1.217303e-04 2.909529e+01 7.906064e-03
1.310000e+04 6.515444e-05 1.050049e+02 1.733840e-02
1.320000e+04 1.504596e-04 4.396313e+01 1.181423e-02
1.330000e+04 8.628836e-05 3.364050e+01 8.954986e-03
1.340000e+04 7.159184e-05 3.290632e+01 5.681714e-03
1.350000e+04 9.316058e-05 4.723320e+01 1.827035e-02
1.360000e+04 3.695377e-05 5.310836e+01 3.829946e-02
1.370000e+04 3.719544e-05 2.759480e+01 2.492507e-02
1.380000e+04 1.341454e-04 7.117381e+01 1.601029e-02
1.390000e+04 7.375338e-04 7.531082e+01 1.202329e-02
1.400000e+04 4.794548e-05 1.021895e+01 1.088058e-02
1.410000e+04 3.186655e-05 5.784610e+00 7.542407e-03
1.420000e+04 6.473904e-05 1.403492e+01 8.980745e-03
1.430000e+04 1.082203e-04 1.818886e+01 7.304963e-03
1.440000e+04 1.575867e-04 1.428947e+01 1.128906e-02
1.450000e+04 1.515756e-04 4.519576e+01 7.901130e-03
1.460000e+04 9.351280e-05 1.372877e+01 8.045512e-03
1.470000e+04 3.693063e-05 1.820934e+01 4.168458e-03
1.480000e+04 6.441073e-05 8.055238e+01 1.281687e-02
1.490000e+04 3.158118e-06 4.409756e+01 2.513243e-02
1.500000e+04 4.302998e-05 1.495960e+01 6.567268e-03
1.510000e+04 4.605526e-05 1.528146e+01 4.642302e-03
1.520000e+04 3.763039e-05 1.109292e+01 5.948711e-03
1.530000e+04 1.801534e-05 9.546750e+00 5.168436e-03
1.540000e+04 5.953619e-05 1.134079e+01 7.445481e-03
1.550000e+04 1.739372e-05 1.327675e+01 4.587357e-03
1.560000e+04 8.026188e-05 4.532105e+01 8.905821e-03
1.570000e+04 2.531391e-06 3.201172e+01 7.313387e-03
1.580000e+04 4.400578e-05 3.980942e+01 9.407304e-03
1.590000e+04 5.652470e-05 2.073592e+01 7.452769e-03
1.600000e+04 2.610754e-05 2.600094e+01 4.940908e-03
1.610000e+04 7.017826e-05 2.229243e+01 1.582954e-02
1.620000e+04 3.387168e-05 1.918429e+01 5.752786e-03
1.630000e+04 7.698179e-05 2.508458e+01 1.090217e-02
1.640000e+04 1.926203e-05 1.256083e+01 9.307208e-03
1.650000e+04 1.986927e-07 1.072374e+01 6.536260e-03
1.660000e+04 2.100280e-05 1.174044e+02 2.075456e-02
1.670000e+04 4.575077e-05 2.130377e+01 1.234000e-02
1.680000e+04 4.479815e-05 1.588861e+01 4.193116e-03
1.690000e+04 5.692423e-05 9.750656e+00 3.362465e-03
1.700000e+04 3.254956e-05 6.593028e+00 3.829857e-03
1.710000e+04 1.111605e-04 2.046683e+01 7.298848e-03
1.720000e+04 3.993876e-05 1.747567e+01 1.547427e-02
1.730000e+04 3.929347e-06 1.417670e+01 5.940677e-03
1.740000e+04 6.515739e-06 3.136678e+01 4.492087e-03
1.750000e+04 2.836120e-05 1.529278e+01 8.877315e-03
1.760000e+04 4.618673e-06 1.393677e+01 7.055181e-03
1.770000e+04 1.600349e-05 2.203563e+01 7.565397e-03
1.780000e+04 3.442009e-05 2.887319e+01 1.321489e-02
1.790000e+04 8.292850e-06 7.113941e+00 9.208683e-03
1.800000e+04 2.124521e-06 2.241740e+01 1.769302e-03
1.810000e+04 8.981031e-06 3.531155e+01 4.350110e-03
1.820000e+04 6.767581e-07 3.599102e+01 1.493082e-02
1.830000e+04 2.296958e-05 9.884418e+00 1.810038e-02
1.840000e+04 5.515766e-06 3.674380e+00 3.888810e-03
1.850000e+04 1.074335e-05 5.456077e+00 3.729627e-03
1.860000e+04 6.895742e-06 3.472296e+00 2.022253e-03
1.870000e+04 9.899724e-06 8.495644e+00 3.964180e-03
1.880000e+04 6.475676e-06 9.658323e+00 3.487428e-03
1.890000e+04 1.633666e-05 1.605055e+01 1.215722e-02
1.900000e+04 2.554919e-06 9.409914e+00 7.614356e-03
1.910000e+04 7.509169e-05 2.550907e+01 7.425563e-03
1.920000e+04 2.860528e-06 7.518398e+00 1.189926e-02
1.930000e+04 1.818460e-05 9.129670e+00 3.743143e-03
1.940000e+04 3.237551e-05 4.418539e+00 3.986103e-03
1.950000e+04 5.418443e-05 9.165182e+00 7.544063e-03
1.960000e+04 2.643150e-05 1.814289e+01 1.877100e-02
1.970000e+04 1.820417e-05 1.046398e+01 2.778390e-03
1.980000e+04 1.767363e-06 1.219579e+01 6.242301e-03
1.990000e+04 2.910556e-05 1.847731e+01 5.797515e-03
2.000000e+04 1.076948e-05 7.727169e+00 6.409677e-03
2.010000e+04 3.326445e-06 9.075455e+00 5.321359e-03
2.020000e+04 2.174260e-05 3.931344e+00 7.858843e-03
2.030000e+04 9.656577e-06 1.705227e+01 2.393378e-03
2.040000e+04 9.150332e-06 1.227385e+01 3.464367e-03
2.050000e+04 6.097723e-06 1.874564e+01 2.724387e-03
2.060000e+04 7.051474e-06 8.910103e+00 1.775991e-03
2.070000e+04 2.741983e-06 8.451698e+00 9.582919e-03
2.080000e+04 1.776801e-05 8.137580e+00 6.831502e-03
2.090000e+04 6.085273e-06 9.436024e+00 4.808632e-03
2.100000e+04 2.022350e-05 7.610094e+00 7.465856e-03
2.110000e+04 4.591568e-05 1.463442e+01 6.021943e-03
2.120000e+04 4.251714e-05 2.116372e+01 9.788089e-03
2.130000e+04 2.857891e-05 5.687340e+00 4.529640e-03
2.140000e+04 2.205777e-06 4.558170e+00 3.034079e-03
2.150000e+04 3.829780e-06 3.623095e+00 3.384026e-03
2.160000e+04 1.067287e-05 4.344141e+00 2.537584e-03
2.170000e+04 8.152225e-06 4.126947e+00 4.135069e-03
2.180000e+04 1.706582e-05 6.096962e+00 3.842150e-03
2.190000e+04 1.866679e-06 2.855129e+00 4.598732e-03
2.200000e+04 3.233619e-05 2.601101e+00 4.564417e-03
2.210000e+04 9.001958e-06 8.145622e+00 3.346905e-03
2.220000e+04 2.266655e-05 1.781617e+01 6.920676e-03
2.230000e+04 2.561144e-05 1.242630e+01 4.322066e-03
2.240000e+04 7.087715e-06 6.795475e+00 2.386135e-03
2.250000e+04 2.386967e-06 9.237823e+00 1.670185e-03
2.260000e+04 3.470649e-05 4.977160e+00 5.525311e-03
2.270000e+04 5.060697e-07 5.175441e+00 3.634757e-03
2.280000e+04 2.423954e-06 6.079313e+00 3.604419e-03
2.290000e+04 1.461870e-06 6.945915e+00 1.874052e-03
2.300000e+04 1.383380e-05 1.037125e+01 1.917331e-03
2.310000e+04 2.103216e-06 4.825330e+00 1.183846e-02
2.320000e+04 4.345448e-06 1.285946e+01 5.889779e-03
2.330000e+04 6.496243e-06 5.005198e+00 2.724861e-03
2.340000e+04 4.950271e-06 4.160805e+00 4.372954e-03
2.350000e+04 2.256243e-06 6.600060e+00 2.193465e-03
2.360000e+04 1.095137e-05 5.007174e+00 5.627436e-03
2.370000e+04 2.072758e-06 8.075460e+00 4.227558e-03
2.380000e+04 4.840442e-07 1.186118e+01 2.972454e-03
2.390000e+04 3.257518e-05 6.618323e+00 3.810400e-03
2.400000e+04 4.599014e-06 2.913247e+00 1.353752e-03
2.410000e+04 5.883090e-06 3.965429e+00 2.441431e-03
2.420000e+04 1.504434e-05 5.512084e+00 5.231804e-03
2.430000e+04 6.507718e-06 3.997355e+00 3.184803e-03
2.440000e+04 4.571724e-06 6.338762e+00 3.243607e-03
2.450000e+04 9.004672e-06 6.259019e+00 3.274516e-03
2.460000e+04 2.529198e-06 3.343027e+00 3.528119e-03
2.470000e+04 1.174802e-05 8.419080e+00 4.340625e-03
2.480000e+04 2.513840e-05 6.821824e+00 1.016231e-02
2.490000e+04 2.257894e-06 4.843539e+00 1.447923e-03
2.500000e+04 1.614265e-05 3.042242e+00 4.096681e-03
2.510000e+04 6.193438e-07 2.379585e+00 1.067045e-03
2.520000e+04 2.541065e-05 1.033574e+01 3.405469e-03
2.530000e+04 1.633162e-06 3.389657e+00 3.665445e-03
2.540000e+04 4.264552e-06 4.712396e+00 3.328389e-03
2.550000e+04 2.753259e-06 1.723705e+00 1.135465e-03
2.560000e+04 2.561134e-06 3.801704e+00 3.871671e-03
2.570000e+04 2.686121e-06 2.452364e+00 2.756818e-03
2.580000e+04 1.185297e-06 3.233898e+00 1.973976e-03
2.590000e+04 3.251224e-07 2.689703e+00 2.499352e-03
2.600000e+04 1.244387e-06 4.075828e+00 1.000923e-03
2.610000e+04 1.155373e-05 9.293404e+00 6.367611e-03
2.620000e+04 5.011586e-07 3.813505e+00 1.609849e-03
2.630000e+04 1.153425e-06 2.660674e+00 4.522670e-03
2.640000e+04 1.254277e-05 6.512547e+00 4.587202e-03
2.650000e+04 3.737029e-05 6.491555e+00 8.950486e-03
2.660000e+04 1.372650e-06 3.775888e+00 3.709642e-03
2.670000e+04 2.696127e-06 2.516754e+00 3.521683e-03
2.680000e+04 4.864304e-06 2.313702e+00 2.656140e-03
2.690000e+04 1.028612e-05 1.435242e+00 4.421339e-03
2.700000e+04 8.458752e-06 2.311924e+00 3.851032e-03
2.710000e+04 1.337685e-06 3.139055e+00 3.873466e-03
2.720000e+04 2.248017e-06 3.662774e+00 3.278364e-03
2.730000e+04 2.300728e-06 4.321271e+00 2.098897e-03
2.740000e+04 4.662382e-06 2.374301e+00 1.164834e-03
2.750000e+04 1.117895e-06 4.085756e+00 2.580682e-03
2.760000e+04 3.189747e-06 3.363474e+00 2.312118e-03
2.770000e+04 4.212056e-06 2.826907e+00 4.646255e-03
2.780000e+04 5.921558e-06 4.063667e+00 4.693330e-03
2.790000e+04 2.544957e-07 2.552968e+00 2.883415e-03
2.800000e+04 1.808303e-06 2.577414e+00 1.697525e-03
2.810000e+04 9.487175e-07 1.354087e+00 1.134756e-03
2.820000e+04 4.122016e-06 2.211209e+00 3.785270e-03
2.830000e+04 7.528713e-06 2.899245e+00 4.461008e-03
2.840000e+04 2.276628e-06 2.417567e+00 2.081198e-03
2.850000e+04 1.093308e-05 4.792018e+00 4.090716e-03
2.860000e+04 8.370874e-06 1.834164e+00 2.288339e-03
2.870000e+04 8.674338e-07 1.422367e+00 3.405097e-03
2.880000e+04 1.653436e-07 3.430301e+00 2.562898e-03
2.890000e+04 2.447733e-07 2.568711e+00 2.654304e-03
2.900000e+04 4.191017e-06 2.197827e+00 2.930067e-03
2.910000e+04 3.717460e-06 3.261373e+00 2.404994e-03
2.920000e+04 7.338286e-08 2.423355e+00 1.047389e-03
2.930000e+04 1.886832e-06 6.297925e+00 2.747127e-03
2.940000e+04 2.261133e-06 1.433022e+00 1.888692e-03
2.950000e+04 6.866348e-07 1.681931e+00 1.918455e-03
2.960000e+04 2.068073e-07 2.276981e+00 1.026129e-03
2.970000e+04 1.298943e-07 1.625843e+00 1.170371e-03
2.980000e+04 8.176472e-07 1.861285e+00 2.233462e-03
2.990000e+04 4.155773e-07 1.209825e+00 1.012084e-03
3.000000e+04 4.637632e-06 2.364035e+00 1.439103e-03
3.010000e+04 1.936453e-06 1.125143e+00 2.386430e-03
3.020000e+04 5.628904e-06 1.484581e+00 2.778712e-03
3.030000e+04 4.440109e-06 5.538771e+00 3.500405e-03
3.040000e+04 8.728217e-07 1.690880e+00 2.206507e-03
3.050000e+04 4.637991e-08 9.321259e-01 1.024203e-03
3.060000e+04 3.300416e-06 1.469356e+00 1.403232e-03
3.070000e+04 6.169103e-07 1.184247e+00 1.853971e-03
3.080000e+04 6.267019e-07 1.240812e+00 1.404295e-03
3.090000e+04 2.079885e-06 1.484925e+00 2.164588e-03
3.100000e+04 1.188060e-06 1.106488e+00 1.091374e-03
3.110000e+04 1.169917e-06 1.250689e+00 1.887191e-03
3.120000e+04 2.256463e-07 1.527663e+00 8.491528e-04
3.130000e+04 3.054233e-06 2.008530e+00 3.585319e-03
3.140000e+04 4.988017e-08 9.358391e-01 2.544969e-03
3.150000e+04 1.534176e-07 1.675898e+00 2.050287e-03
3.160000e+04 5.860443e-07 1.104853e+00 1.009801e-03
3.170000e+04 1.655337e-06 1.615489e+00 8.405077e-04
3.180000e+04 1.324230e-06 1.615460e+00 1.344278e-03
3.190000e+04 1.593969e-07 1.396040e+00 1.971360e-03
