# iteration  l2_NN  l2_FF  l2_mFF
9.900000e+03 2.048708e+00 4.016227e-01 1.183861e-02
1.000000e+04 2.017296e+00 4.012462e-01 5.797840e-03
1.010000e+04 2.005094e+00 4.008043e-01 1.119979e-02
1.020000e+04 1.961298e+00 3.997030e-01 2.514559e-02
1.030000e+04 1.774289e+00 3.994398e-01 1.359077e-02
1.040000e+04 1.732098e+00 4.026164e-01 2.214219e-02
1.050000e+04 1.816773e+00 4.030810e-01 1.124685e-02
1.060000e+04 1.840418e+00 4.024866e-01 1.326014e-02
1.070000e+04 1.900683e+00 4.027612e-01 9.780769e-03
1.080000e+04 1.977793e+00 4.015598e-01 1.496628e-02
1.090000e+04 1.970183e+00 4.010510e-01 2.132043e-02
1.100000e+04 2.056726e+00 4.018956e-01 2.912807e-02
1.110000e+04 2.049410e+00 4.011038e-01 8.022656e-03
1.120000e+04 2.110630e+00 4.036418e-01 7.947400e-03
1.130000e+04 2.119775e+00 4.037647e-01 8.739806e-03
1.140000e+04 2.206524e+00 4.037570e-01 6.879933e-03
1.150000e+04 2.055679e+00 4.028817e-01 8.876568e-03
1.160000e+04 1.919979e+00 4.025390e-01 7.392703e-03
1.170000e+04 2.099581e+00 4.022834e-01 8.790822e-03
1.180000e+04 2.167046e+00 4.031829e-01 5.738807e-03
1.190000e+04 2.119464e+00 4.041609e-01 2.152830e-02
1.200000e+04 2.079648e+00 4.042066e-01 1.672221e-02
1.210000e+04 2.150311e+00 4.032383e-01 2.171466e-02
1.220000e+04 2.120194e+00 4.031696e-01 6.897525e-03
1.230000e+04 2.184129e+00 4.032285e-01 1.387933e-02
1.240000e+04 2.204605e+00 4.051575e-01 1.182950e-02
1.250000e+04 2.197053e+00 4.039495e-01 7.433566e-03
1.260000e+04 2.190206e+00 4.042299e-01 1.086567e-02
1.270000e+04 2.085540e+00 4.036606e-01 6.491193e-03
1.280000e+04 2.135482e+00 4.039064e-01 1.223807e-02
1.290000e+04 2.217577e+00 4.036555e-01 1.335798e-02
1.300000e+04 2.193726e+00 4.036171e-01 7.906064e-03
1.310000e+04 2.119980e+00 4.037739e-01 1.733840e-02
1.320000e+04 2.077481e+00 4.046420e-01 1.181423e-02
1.330000e+04 2.026940e+00 4.038786e-01 8.954986e-03
1.340000e+04 1.966760e+00 4.036893e-01 5.681714e-03
1.350000e+04 1.895324e+00 4.036966e-01 1.827035e-02
1.360000e+04 2.059150e+00 4.028080e-01 3.829946e-02
1.370000e+04 2.310642e+00 4.024357e-01 2.492507e-02
1.380000e+04 2.468550e+00 4.027565e-01 1.601029e-02
1.390000e+04 2.376036e+00 4.046948e-01 1.202329e-02
1.400000e+04 2.299398e+00 4.039726e-01 1.088058e-02
1.410000e+04 2.194164e+00 4.035753e-01 7.542407e-03
1.420000e+04 2.273090e+00 4.025417e-01 8.980745e-03
1.430000e+04 2.246592e+00 4.024683e-01 7.304963e-03
1.440000e+04 2.306821e+00 4.024408e-01 1.128906e-02
1.450000e+04 2.063969e+00 4.028482e-01 7.901130e-03
1.460000e+04 2.023226e+00 4.035415e-01 8.045512e-03
1.470000e+04 2.256815e+00 4.026839e-01 4.168458e-03
1.480000e+04 2.371141e+00 4.023536e-01 1.281687e-02
1.490000e+04 2.199962e+00 4.023223e-01 2.513243e-02
1.500000e+04 2.207698e+00 4.017200e-01 6.567268e-03
1.510000e+04 2.313527e+00 4.014436e-01 4.642302e-03
1.520000e+04 2.236836e+00 4.014590e-01 5.948711e-03
1.530000e+04 2.342291e+00 4.011316e-01 5.168436e-03
1.540000e+04 2.290657e+00 4.002178e-01 7.445481e-03
1.550000e+04 2.256703e+00 4.002917e-01 4.587357e-03
1.560000e+04 2.354630e+00 4.011462e-01 8.905821e-03
1.570000e+04 2.351503e+00 4.007913e-01 7.313387e-03
1.580000e+04 2.322278e+00 4.001839e-01 9.407304e-03
1.590000e+04 2.202684e+00 4.001203e-01 7.452769e-03
1.600000e+04 2.367437e+00 3.996905e-01 4.940908e-03
1.610000e+04 2.525278e+00 3.995974e-01 1.582954e-02
1.620000e+04 2.608898e+00 4.003932e-01 5.752786e-03
