# iter	loss_total	loss_res	loss_ics	loss_bcs	l2_u	lambda_ics	lambda_bcs
4.30000000e+03	1.51317453e+00	1.24490356e+00	5.60772000e-03	3.36309895e-04	7.86416754e-02	5.32221451e+01	2.22115097e+02
4.40000000e+03	2.28392529e+00	1.88942909e+00	5.34543442e-03	2.98038154e-04	8.04953799e-02	5.84204674e+01	3.04771027e+02
4.50000000e+03	5.10422945e+00	4.70577049e+00	5.08723594e-03	7.18183583e-04	8.02899748e-02	4.27338028e+01	3.00550476e+02
4.60000000e+03	1.70082188e+00	1.34068060e+00	4.29773098e-03	2.20118294e-04	7.10962042e-02	6.31465874e+01	2.69154053e+02
4.70000000e+03	3.12757607e+01	1.33266773e+01	2.15609342e-01	1.39673695e-03	6.60745054e-02	7.42441483e+01	3.69086395e+02
4.80000000e+03	1.68856406e+00	1.44983888e+00	3.24606360e-03	2.84255657e-04	6.91404715e-02	4.91358414e+01	2.58784882e+02
4.90000000e+03	2.08288717e+00	1.79498363e+00	4.19599796e-03	1.48350417e-04	7.58222342e-02	5.13353348e+01	3.19408447e+02
5.00000000e+03	1.64843392e+00	1.30131292e+00	7.31485523e-03	2.08383455e-04	5.51653989e-02	4.14637184e+01	2.44202499e+02
5.10000000e+03	1.27166772e+00	8.41750681e-01	9.50287376e-03	2.30249323e-04	5.62035739e-02	3.65727348e+01	2.42627579e+02
5.20000000e+03	4.80669022e+00	4.52595758e+00	2.84461002e-03	4.72992717e-04	7.14799613e-02	5.50184402e+01	2.93104279e+02
5.30000000e+03	1.03573203e+00	8.12559903e-01	3.33971344e-03	2.08924714e-04	5.77530190e-02	4.91767693e+01	3.29035187e+02
5.40000000e+03	4.26723242e+00	3.78380489e+00	1.24196345e-02	1.93567801e-04	6.30016252e-02	3.25707550e+01	2.53447479e+02
5.50000000e+03	2.17600136e+01	2.00080223e+01	1.05519155e-02	2.29268288e-03	1.54776692e-01	1.05826523e+02	2.68199890e+02
5.60000000e+03	8.42329788e+00	7.64734364e+00	8.58162344e-03	9.48248955e-04	1.27285212e-01	6.49960709e+01	2.16702209e+02
5.70000000e+03	3.27043104e+00	2.89055920e+00	6.48844894e-03	6.95422874e-04	1.00353405e-01	4.13969460e+01	2.05928772e+02
5.80000000e+03	4.90343142e+00	4.46022129e+00	6.76726038e-03	5.57649240e-04	1.03262670e-01	4.82125053e+01	2.10462006e+02
5.90000000e+03	4.14037609e+00	3.63292551e+00	7.06580095e-03	6.84298400e-04	8.32248107e-02	5.35754738e+01	2.02978714e+02
6.00000000e+03	4.52106619e+00	3.95794106e+00	5.64582553e-03	5.42065653e-04	8.46983790e-02	6.84902039e+01	3.31125519e+02
6.10000000e+03	3.22473574e+00	2.81513405e+00	3.77794937e-03	5.78178500e-04	7.10976273e-02	6.21347351e+01	2.47045105e+02
6.20000000e+03	8.65104103e+00	8.29481697e+00	6.10257080e-03	5.90235053e-04	6.95967972e-02	4.11718140e+01	1.89962723e+02
6.30000000e+03	2.63844347e+00	2.35985088e+00	3.75658646e-03	4.81877418e-04	6.80374429e-02	4.10038643e+01	2.18637405e+02
6.40000000e+03	2.08097601e+00	1.70405912e+00	6.20869733e-03	5.10998769e-04	7.31832683e-02	3.84782944e+01	2.13853943e+02
6.50000000e+03	1.94852877e+00	1.50687325e+00	5.33123128e-03	5.66810253e-04	5.70168868e-02	5.55303764e+01	1.95262238e+02
6.60000000e+03	1.79881394e+00	1.41357732e+00	4.02269978e-03	5.04748081e-04	5.14029153e-02	5.84316635e+01	2.40246948e+02
6.70000000e+03	6.14533997e+00	5.55198622e+00	8.20639171e-03	5.31019585e-04	6.57900497e-02	5.35569115e+01	2.30538345e+02
6.80000000e+03	2.17782879e+00	1.82343447e+00	5.16992575e-03	5.86966285e-04	5.01248129e-02	4.64706383e+01	1.97647217e+02
6.90000000e+03	1.73166764e+00	1.44807172e+00	3.81256803e-03	4.14783659e-04	5.01362309e-02	5.06157265e+01	2.11109329e+02
7.00000000e+03	4.15788889e+00	3.66310787e+00	7.79209659e-03	5.16284839e-04	5.31010777e-02	5.12804146e+01	2.83033173e+02
7.10000000e+03	1.37315691e+00	8.80206108e-01	4.44802549e-03	6.42253261e-04	4.22166847e-02	6.50185318e+01	2.58044617e+02
7.20000000e+03	3.30970359e+00	2.87306333e+00	4.69751284e-03	4.04918886e-04	4.51960042e-02	6.32542000e+01	2.76616760e+02
7.30000000e+03	2.08833790e+00	1.80581129e+00	3.65021406e-03	2.52781028e-04	4.78783250e-02	5.66385460e+01	2.41163239e+02
7.40000000e+03	1.06280994e+00	8.05364668e-01	3.52203334e-03	2.67670403e-04	4.33242507e-02	5.29520302e+01	2.05997269e+02
7.50000000e+03	3.66175056e+00	3.35301042e+00	4.31215856e-03	2.94495258e-04	3.92755345e-02	4.90671844e+01	2.40933441e+02
7.60000000e+03	3.03653693e+00	2.62922835e+00	4.00016457e-03	3.61807935e-04	4.20915410e-02	7.49847488e+01	2.86140198e+02
7.70000000e+03	1.73651767e+00	1.32046151e+00	3.39155924e-03	4.06886858e-04	4.06554677e-02	8.00419464e+01	2.67591797e+02
7.80000000e+03	1.31514728e+00	1.06078029e+00	4.34980867e-03	3.00009677e-04	4.31802608e-02	4.41491547e+01	1.88740677e+02
7.90000000e+03	7.54576266e-01	5.61529577e-01	3.68987489e-03	2.80811277e-04	4.08887267e-02	3.66885834e+01	2.21596420e+02
8.00000000e+03	2.76252317e+00	2.45861888e+00	3.73581611e-03	3.32836411e-04	5.12335971e-02	5.53216362e+01	2.31859985e+02
8.10000000e+03	1.26897836e+00	9.02415216e-01	3.88512528e-03	4.26565472e-04	3.33964117e-02	6.96979675e+01	2.81690002e+02
8.20000000e+03	1.09481668e+00	7.97557831e-01	3.85215855e-03	2.95994163e-04	3.88800725e-02	5.31183853e+01	2.55085892e+02
8.30000000e+03	9.38930213e-01	6.60641193e-01	5.24922227e-03	3.77247488e-04	4.33924161e-02	3.99659081e+01	2.21762985e+02
8.40000000e+03	8.81101847e-01	6.29938185e-01	4.20742249e-03	2.08371071e-04	3.24234068e-02	4.59704247e+01	2.07063858e+02
8.50000000e+03	1.12879848e+00	7.08421707e-01	9.66143142e-03	3.11626063e-04	3.92766334e-02	3.47403488e+01	1.97131592e+02
8.60000000e+03	8.21722925e-01	5.63123584e-01	3.31678381e-03	2.60987028e-04	3.42686474e-02	5.48182106e+01	2.33266388e+02
8.70000000e+03	8.33811045e-01	6.78874671e-01	2.77949194e-03	1.96303168e-04	3.16363201e-02	4.02369232e+01	2.54449066e+02
8.80000000e+03	2.05656052e+00	1.80536211e+00	3.83076491e-03	2.71376688e-04	2.84366850e-02	4.23734512e+01	2.65963013e+02
8.90000000e+03	4.32674742e+00	3.70179629e+00	1.10991960e-02	4.49040439e-04	5.29220179e-02	4.02139168e+01	3.30115662e+02
