# iter	loss_total	loss_res	loss_ics	loss_bcs	l2_u	lambda_ics	lambda_bcs
0.00000000e+00	1.13270303e+04	1.13247178e+04	7.36489773e-01	1.57616258e+00	1.50741541e+00	1.00000000e+00	1.00000000e+00
1.00000000e+02	2.94401099e+03	2.90294482e+03	3.02853718e+01	1.07808695e+01	5.95211172e+00	1.00000000e+00	1.00000000e+00
2.00000000e+02	2.10717261e+03	2.07204102e+03	2.17161884e+01	1.34152966e+01	6.42858601e+00	1.00000000e+00	1.00000000e+00
3.00000000e+02	1.35488684e+03	1.31205469e+03	2.54433289e+01	1.73888359e+01	6.83039856e+00	1.00000000e+00	1.00000000e+00
4.00000000e+02	2.90027771e+02	2.12391312e+02	5.81863747e+01	1.94500694e+01	7.32347870e+00	1.00000000e+00	1.00000000e+00
5.00000000e+02	1.64807098e+02	8.32129517e+01	6.27155762e+01	1.88785763e+01	7.37069035e+00	1.00000000e+00	1.00000000e+00
6.00000000e+02	2.07611420e+02	1.24967255e+02	6.45273895e+01	1.81167679e+01	7.42829275e+00	1.00000000e+00	1.00000000e+00
7.00000000e+02	1.43748138e+02	6.55133057e+01	5.88084717e+01	1.94263573e+01	7.33485889e+00	1.00000000e+00	1.00000000e+00
8.00000000e+02	1.25802246e+02	5.62287636e+01	5.21597824e+01	1.74136963e+01	7.21444798e+00	1.00000000e+00	1.00000000e+00
9.00000000e+02	1.13351822e+02	4.59844666e+01	4.88183899e+01	1.85489693e+01	7.28271103e+00	1.00000000e+00	1.00000000e+00
1.00000000e+03	1.40066864e+02	7.60701218e+01	4.71542816e+01	1.68424587e+01	7.22408772e+00	1.00000000e+00	1.00000000e+00
1.10000000e+03	1.43710297e+02	7.75015030e+01	4.71697617e+01	1.90390377e+01	7.24249983e+00	1.00000000e+00	1.00000000e+00
1.20000000e+03	1.25971611e+02	6.86647644e+01	4.15589523e+01	1.57478962e+01	7.09140110e+00	1.00000000e+00	1.00000000e+00
1.30000000e+03	1.19672218e+02	5.53848763e+01	4.67750320e+01	1.75123062e+01	7.15430450e+00	1.00000000e+00	1.00000000e+00
1.40000000e+03	1.09528778e+02	5.39445229e+01	3.82599716e+01	1.73242817e+01	7.11053133e+00	1.00000000e+00	1.00000000e+00
1.50000000e+03	9.58092041e+01	4.42067413e+01	3.47063522e+01	1.68961124e+01	7.00626183e+00	1.00000000e+00	1.00000000e+00
1.60000000e+03	9.03893814e+01	4.08281555e+01	3.22504730e+01	1.73107548e+01	7.06653118e+00	1.00000000e+00	1.00000000e+00
1.70000000e+03	9.51429367e+01	4.08506584e+01	3.80744476e+01	1.62178268e+01	7.03235674e+00	1.00000000e+00	1.00000000e+00
1.80000000e+03	7.89502411e+01	2.85136566e+01	3.37151184e+01	1.67214622e+01	7.03967714e+00	1.00000000e+00	1.00000000e+00
1.90000000e+03	7.95385818e+01	3.24254608e+01	3.07962379e+01	1.63168831e+01	6.95417070e+00	1.00000000e+00	1.00000000e+00
2.00000000e+03	8.42846909e+01	4.20051041e+01	2.63636303e+01	1.59159536e+01	6.84202003e+00	1.00000000e+00	1.00000000e+00
2.10000000e+03	5.86408005e+01	1.80156803e+01	2.52398357e+01	1.53852863e+01	6.84260798e+00	1.00000000e+00	1.00000000e+00
2.20000000e+03	6.02059174e+01	2.45613289e+01	2.05743427e+01	1.50702419e+01	6.74453783e+00	1.00000000e+00	1.00000000e+00
2.30000000e+03	5.30342407e+01	1.93666344e+01	1.92925243e+01	1.43750849e+01	6.69437790e+00	1.00000000e+00	1.00000000e+00
2.40000000e+03	5.45719261e+01	2.27312889e+01	1.77145157e+01	1.41261206e+01	6.59755087e+00	1.00000000e+00	1.00000000e+00
2.50000000e+03	4.14505157e+01	1.14058056e+01	1.61859665e+01	1.38587427e+01	6.53323507e+00	1.00000000e+00	1.00000000e+00
2.60000000e+03	3.89443245e+01	9.67762375e+00	1.58943119e+01	1.33723879e+01	6.48354435e+00	1.00000000e+00	1.00000000e+00
2.70000000e+03	3.94044685e+01	1.20519505e+01	1.44893589e+01	1.28631601e+01	6.34683847e+00	1.00000000e+00	1.00000000e+00
2.80000000e+03	4.28670578e+01	1.56099701e+01	1.41913347e+01	1.30657549e+01	6.29971743e+00	1.00000000e+00	1.00000000e+00
2.90000000e+03	3.43662186e+01	8.20425797e+00	1.38602009e+01	1.23017578e+01	6.20737648e+00	1.00000000e+00	1.00000000e+00
3.00000000e+03	3.80050964e+01	1.18961735e+01	1.39250393e+01	1.21838856e+01	6.14988232e+00	1.00000000e+00	1.00000000e+00
3.10000000e+03	3.17567139e+01	6.85166740e+00	1.33833265e+01	1.15217218e+01	6.08094454e+00	1.00000000e+00	1.00000000e+00
3.20000000e+03	4.24519501e+01	1.75477753e+01	1.32712212e+01	1.16329556e+01	6.01580334e+00	1.00000000e+00	1.00000000e+00
3.30000000e+03	3.40690231e+01	9.80356026e+00	1.34266367e+01	1.08388252e+01	5.92776108e+00	1.00000000e+00	1.00000000e+00
3.40000000e+03	3.09150887e+01	7.42980385e+00	1.29025345e+01	1.05827503e+01	5.87224817e+00	1.00000000e+00	1.00000000e+00
3.50000000e+03	3.05423946e+01	6.59705591e+00	1.31107845e+01	1.08345547e+01	5.79630804e+00	1.00000000e+00	1.00000000e+00
3.60000000e+03	4.44797897e+01	2.16883125e+01	1.33873253e+01	9.40415192e+00	5.71217394e+00	1.00000000e+00	1.00000000e+00
3.70000000e+03	2.68806076e+01	4.19330502e+00	1.30623274e+01	9.62497425e+00	5.62356615e+00	1.00000000e+00	1.00000000e+00
3.80000000e+03	2.55073280e+01	3.92249656e+00	1.27313671e+01	8.85346413e+00	5.51381445e+00	1.00000000e+00	1.00000000e+00
3.90000000e+03	2.44318752e+01	3.63105583e+00	1.25917635e+01	8.20905495e+00	5.42434025e+00	1.00000000e+00	1.00000000e+00
4.00000000e+03	2.63625145e+01	6.22914696e+00	1.20591211e+01	8.07424545e+00	5.24506474e+00	1.00000000e+00	1.00000000e+00
4.10000000e+03	2.77048950e+01	9.18581200e+00	1.17286701e+01	6.79041338e+00	5.04893780e+00	1.00000000e+00	1.00000000e+00
4.20000000e+03	2.40202980e+01	7.87822056e+00	1.01019440e+01	6.04013348e+00	4.73142290e+00	1.00000000e+00	1.00000000e+00
4.30000000e+03	1.99053211e+01	6.07941961e+00	8.76322937e+00	5.06267214e+00	4.14788628e+00	1.00000000e+00	1.00000000e+00
4.40000000e+03	1.58137608e+01	6.92373657e+00	6.28492594e+00	2.60509920e+00	3.32086825e+00	1.00000000e+00	1.00000000e+00
4.50000000e+03	1.33604355e+01	6.19670486e+00	5.14220047e+00	2.02152991e+00	2.78894043e+00	1.00000000e+00	1.00000000e+00
4.60000000e+03	9.71230125e+00	4.75616503e+00	3.84430933e+00	1.11182678e+00	2.19246912e+00	1.00000000e+00	1.00000000e+00
4.70000000e+03	1.09585381e+01	8.04199028e+00	2.16163445e+00	7.54913330e-01	1.66631293e+00	1.00000000e+00	1.00000000e+00
4.80000000e+03	5.97887325e+00	4.12836552e+00	1.48275113e+00	3.67756844e-01	1.29193521e+00	1.00000000e+00	1.00000000e+00
4.90000000e+03	3.37915969e+00	2.03818178e+00	1.07017839e+00	2.70799309e-01	1.06566548e+00	1.00000000e+00	1.00000000e+00
5.00000000e+03	6.13450909e+00	5.10898018e+00	7.52648592e-01	2.72880375e-01	9.11508262e-01	1.00000000e+00	1.00000000e+00
5.10000000e+03	4.38561964e+00	3.47021627e+00	7.30270565e-01	1.85133040e-01	7.93558419e-01	1.00000000e+00	1.00000000e+00
5.20000000e+03	1.02243509e+01	9.42228031e+00	6.23554766e-01	1.78515777e-01	7.28603780e-01	1.00000000e+00	1.00000000e+00
5.30000000e+03	4.24248075e+00	3.63021994e+00	4.63807046e-01	1.48453832e-01	6.61087155e-01	1.00000000e+00	1.00000000e+00
5.40000000e+03	5.48676443e+00	4.91138124e+00	4.16041076e-01	1.59342289e-01	6.03022337e-01	1.00000000e+00	1.00000000e+00
5.50000000e+03	3.59358764e+00	3.10271978e+00	3.57049316e-01	1.33818686e-01	5.78083277e-01	1.00000000e+00	1.00000000e+00
5.60000000e+03	3.66358113e+00	3.16354942e+00	3.62361610e-01	1.37669936e-01	5.34192383e-01	1.00000000e+00	1.00000000e+00
5.70000000e+03	1.79794145e+00	1.29968226e+00	3.77886146e-01	1.20373033e-01	5.02998888e-01	1.00000000e+00	1.00000000e+00
5.80000000e+03	4.16787577e+00	3.73437500e+00	3.14242721e-01	1.19258031e-01	4.95526046e-01	1.00000000e+00	1.00000000e+00
5.90000000e+03	4.74041510e+00	4.27841377e+00	3.45590025e-01	1.16411187e-01	4.66901660e-01	1.00000000e+00	1.00000000e+00
6.00000000e+03	2.50194335e+00	2.13331270e+00	2.57237583e-01	1.11392893e-01	4.51282710e-01	1.00000000e+00	1.00000000e+00
6.10000000e+03	2.93881989e+00	2.53622389e+00	2.90530175e-01	1.12065911e-01	4.34860080e-01	1.00000000e+00	1.00000000e+00
6.20000000e+03	2.46089573e+01	2.40575294e+01	4.58029866e-01	9.33978856e-02	4.44742411e-01	1.00000000e+00	1.00000000e+00
6.30000000e+03	1.75239170e+00	1.36976838e+00	2.70299941e-01	1.12323359e-01	4.38970596e-01	1.00000000e+00	1.00000000e+00
6.40000000e+03	2.43556261e+00	2.06397438e+00	2.60024637e-01	1.11563608e-01	4.09619123e-01	1.00000000e+00	1.00000000e+00
6.50000000e+03	1.55327618e+00	1.27215505e+00	1.77446619e-01	1.03674531e-01	4.00382936e-01	1.00000000e+00	1.00000000e+00
6.60000000e+03	1.74684215e+00	1.46638298e+00	1.82757139e-01	9.77020413e-02	3.97805035e-01	1.00000000e+00	1.00000000e+00
6.70000000e+03	2.97959375e+00	2.73351908e+00	1.60620272e-01	8.54545087e-02	3.75042200e-01	1.00000000e+00	1.00000000e+00
6.80000000e+03	2.57294893e+00	2.26216984e+00	2.07704008e-01	1.03074908e-01	3.70425135e-01	1.00000000e+00	1.00000000e+00
6.90000000e+03	1.88600254e+00	1.62215245e+00	1.77113518e-01	8.67366120e-02	3.60558510e-01	1.00000000e+00	1.00000000e+00
7.00000000e+03	1.54503155e+00	1.29709756e+00	1.66238278e-01	8.16956684e-02	3.58860105e-01	1.00000000e+00	1.00000000e+00
7.10000000e+03	1.42057943e+00	1.13062334e+00	2.02142328e-01	8.78137499e-02	3.48239452e-01	1.00000000e+00	1.00000000e+00
7.20000000e+03	1.71527004e+00	1.47548974e+00	1.60068244e-01	7.97119886e-02	3.47276300e-01	1.00000000e+00	1.00000000e+00
7.30000000e+03	1.59153175e+00	1.38274932e+00	1.28408119e-01	8.03743601e-02	3.31726611e-01	1.00000000e+00	1.00000000e+00
7.40000000e+03	1.38345253e+00	1.16490507e+00	1.34907514e-01	8.36399570e-02	3.31245452e-01	1.00000000e+00	1.00000000e+00
7.50000000e+03	2.60479712e+00	2.34617376e+00	1.73517168e-01	8.51061195e-02	3.27339262e-01	1.00000000e+00	1.00000000e+00
7.60000000e+03	1.14523268e+00	9.34059381e-01	1.32430226e-01	7.87430853e-02	3.13850164e-01	1.00000000e+00	1.00000000e+00
7.70000000e+03	1.48913968e+00	1.29847383e+00	1.17671996e-01	7.29938522e-02	3.08343977e-01	1.00000000e+00	1.00000000e+00
7.80000000e+03	1.11260223e+00	9.02580500e-01	1.33579820e-01	7.64418393e-02	3.01805317e-01	1.00000000e+00	1.00000000e+00
7.90000000e+03	1.70199370e+00	1.48706305e+00	1.41208574e-01	7.37221539e-02	2.91948974e-01	1.00000000e+00	1.00000000e+00
8.00000000e+03	4.05878735e+00	3.85965228e+00	1.33312285e-01	6.58230111e-02	2.93632597e-01	1.00000000e+00	1.00000000e+00
8.10000000e+03	1.56043327e+00	1.40836191e+00	8.66166279e-02	6.54546916e-02	2.87577122e-01	1.00000000e+00	1.00000000e+00
8.20000000e+03	1.42456138e+00	1.27632236e+00	7.89808482e-02	6.92582056e-02	2.81905919e-01	1.00000000e+00	1.00000000e+00
8.30000000e+03	1.28034353e+00	1.14434838e+00	6.84167743e-02	6.75783306e-02	2.87196368e-01	1.00000000e+00	1.00000000e+00
8.40000000e+03	1.48106670e+00	1.27887774e+00	1.41658425e-01	6.05305582e-02	2.71750391e-01	1.00000000e+00	1.00000000e+00
8.50000000e+03	1.13066518e+00	9.79296207e-01	8.07985514e-02	7.05704689e-02	2.71921754e-01	1.00000000e+00	1.00000000e+00
8.60000000e+03	8.29628587e-01	7.01758802e-01	6.83270693e-02	5.95427081e-02	2.67985672e-01	1.00000000e+00	1.00000000e+00
8.70000000e+03	2.52329350e+00	2.34839010e+00	1.07927136e-01	6.69763982e-02	2.59713441e-01	1.00000000e+00	1.00000000e+00
8.80000000e+03	4.21754789e+00	4.09695053e+00	5.63744903e-02	6.42227232e-02	2.53672451e-01	1.00000000e+00	1.00000000e+00
8.90000000e+03	2.81494427e+00	2.67625666e+00	7.79355466e-02	6.07521944e-02	2.59806931e-01	1.00000000e+00	1.00000000e+00
9.00000000e+03	8.98997128e-01	7.42779255e-01	9.55263600e-02	6.06915131e-02	2.57996678e-01	1.00000000e+00	1.00000000e+00
9.10000000e+03	5.12853527e+00	4.97675228e+00	9.56056938e-02	5.61773106e-02	2.48505235e-01	1.00000000e+00	1.00000000e+00
9.20000000e+03	2.17764068e+00	2.05944633e+00	5.29163182e-02	6.52779490e-02	2.54493952e-01	1.00000000e+00	1.00000000e+00
9.30000000e+03	1.34237587e+00	1.17108583e+00	1.15992703e-01	5.52974157e-02	2.51251876e-01	1.00000000e+00	1.00000000e+00
9.40000000e+03	2.19253135e+00	2.08847260e+00	5.15167192e-02	5.25419600e-02	2.53742397e-01	1.00000000e+00	1.00000000e+00
9.50000000e+03	1.13846195e+00	1.01498771e+00	7.41449222e-02	4.93292585e-02	2.47260094e-01	1.00000000e+00	1.00000000e+00
9.60000000e+03	9.78127420e-01	8.66932690e-01	5.57072908e-02	5.54874539e-02	2.44390100e-01	1.00000000e+00	1.00000000e+00
9.70000000e+03	2.51651835e+00	2.35841823e+00	9.46066678e-02	6.34934232e-02	2.46028975e-01	1.00000000e+00	1.00000000e+00
9.80000000e+03	2.39835429e+00	2.28806782e+00	5.74977770e-02	5.27888015e-02	2.47030944e-01	1.00000000e+00	1.00000000e+00
9.90000000e+03	4.43233156e+00	4.33472252e+00	4.70441617e-02	5.05648479e-02	2.49041751e-01	1.00000000e+00	1.00000000e+00
1.00000000e+04	5.70475674e+00	5.49375343e+00	1.59254923e-01	5.17484508e-02	2.37266719e-01	1.00000000e+00	1.00000000e+00
1.01000000e+04	7.48994172e-01	6.45597577e-01	5.09801805e-02	5.24163693e-02	2.41460055e-01	1.00000000e+00	1.00000000e+00
1.02000000e+04	2.06614065e+00	1.90402174e+00	1.05399646e-01	5.67192659e-02	2.39912331e-01	1.00000000e+00	1.00000000e+00
1.03000000e+04	9.27252293e-01	8.37179720e-01	4.08240147e-02	4.92485687e-02	2.42305800e-01	1.00000000e+00	1.00000000e+00
1.04000000e+04	1.89077139e+00	1.78988171e+00	5.51892780e-02	4.57004160e-02	2.41636097e-01	1.00000000e+00	1.00000000e+00
1.05000000e+04	2.40201974e+00	2.28365707e+00	6.57606125e-02	5.26020676e-02	2.39938855e-01	1.00000000e+00	1.00000000e+00
