case,method,n_seeds,params,n_collocation,best_l2_mean,best_l2_std,best_l2_min,final_l2_mean,final_l2_std,time_mean_s,time_std_s,ms_per_epoch_mean,peak_mem_mb_mean,inference_ms_mean
helmholtz24pi,SVSNN_accel,5,1170,10000,0.024551884943973375,0.010088628905174082,0.009002319134511228,0.03815702468572803,0.025672905678950066,10.201764631271363,1.2103958975942366,1.0203805392349832,89.0112,3.456087112426758
helmholtz24pi,SPINN,5,91136,10000,0.642222351230169,0.06552649752638472,0.5461203985683378,0.642222351230169,0.06552649752638472,14.373258304595947,1.2577045717650985,1.4376133531302209,140.525312,4.284448623657227
helmholtz24pi,SIREN,5,82689,10000,0.922666110678611,0.022780281241733882,0.895731320690748,0.9226773221323026,0.022777968697463076,23.481591796875,1.1890662270376209,2.3486289054685936,324.7488,4.457731246948242
helmholtz24pi,FourierPINN,5,66177,10000,0.46392028749130676,0.08372362995416105,0.3462684186929134,0.46436570033103547,0.08338028595328117,14.22720422744751,0.04453272534834304,1.4230050237495009,324.7488,4.034419059753418
helmholtz24pi,PINN,5,50049,10000,0.9949784824772504,0.005401657226652774,0.9860768119959337,1.0493246040686206,0.04343584048386716,17.774477529525758,0.1358125117866022,1.7778033136152984,324.7488,1.7401409149169922
helmholtz24pi,ClassicalSpectral,1,4096,65536,4.363523524073456e-14,0.0,4.363523524073456e-14,4.363523524073456e-14,0.0,0.004992008209228516,0.0,0.0,324.7488,4.992008209228516
helmholtz48pi,SVSNN_accel,5,3096,10000,0.008215591496412688,0.0036241316906719754,0.003118533252668005,0.00841940802661229,0.003592083076438714,13.035189867019653,0.8340093288089262,1.3037797426504956,2697.797632,2.9837846755981445
helmholtz48pi,SPINN,5,91136,10000,1.4499291875002354,0.04750371725644146,1.388828961082144,1.4499291875002354,0.04750371725644146,14.40785551071167,0.8654564845290103,1.4410737658243318,2697.797632,3.955092430114746
helmholtz48pi,SIREN,5,82689,10000,1.000104469869236,0.0070614083246691,0.9873495645403924,1.000104469869236,0.0070614083246691,22.79893445968628,0.027332056215177928,2.2803495158718023,2697.797632,4.213871955871582
helmholtz48pi,FourierPINN,5,66177,10000,0.9048407007956119,0.0623252788109025,0.8199678686433093,0.9049123034019771,0.06241133780650238,14.185421371459961,0.04245377026158872,1.4188259023264613,2697.797632,4.3990278244018555
helmholtz48pi,PINN,5,50049,10000,1.0002642861590312,9.910344292173132e-05,1.000162927421261,1.0271531764900488,0.021684543483380357,17.72443356513977,0.014536407416245591,1.7727979160971965,2697.797632,1.6802787780761719
helmholtz48pi,ClassicalSpectral,1,4096,65536,1.3111887164815314e-13,0.0,1.3111887164815314e-13,1.3111887164815314e-13,0.0,0.004712104797363281,0.0,0.0,2697.797632,4.712104797363281
