method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,3730,40.41,0.0004957299748263415,0.0011545760435039871,4.04
SVSNN_original,3730,71.45,0.0003450349722829136,0.0009066217598755236,7.14
SPINN,82816,40.44,0.8909066336822787,0.8909066336822787,4.04
SIREN,82689,35.9,0.0015293483654235912,0.00411996792180079,3.59
FourierPINN,66177,19.63,0.0018519177618323292,0.01904745705677774,1.96
PINN,50049,17.54,0.46891615474030834,0.46891615474030834,1.75
