method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,11440,189.47,6.716324e-03,6.716324e-03,3.79
SVSNN_orig,11440,541.80,6.909300e-03,6.909300e-03,10.84
SPINN,130560,168.92,2.733520e-03,2.913627e-03,3.38
SIREN,99137,290.45,3.295185e-02,3.295185e-02,5.81
FourierPINN,82625,159.97,2.473352e-02,2.473352e-02,3.20
PINN,50177,158.84,1.472651e-01,1.472651e-01,3.18
