method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,1170,10.51,4.542824e-03,4.542824e-03,1.05
SVSNN_orig,1170,15.48,9.356807e-03,1.592090e-02,1.55
SPINN,91136,13.69,5.170905e-01,5.170905e-01,1.37
SIREN,82689,23.05,8.992989e-01,8.992989e-01,2.31
FourierPINN,66177,12.98,3.491310e-01,3.515859e-01,1.30
PINN,50049,14.33,9.981726e-01,1.023264e+00,1.43
