# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
4.900000e+03 1.977010e-02 1.788229e-01 1.032052e+02 9.226576e-01 7.503664e+04 3.608971e+01 1.028512e+00
5.000000e+03 1.568922e-02 1.881015e-01 1.936639e+02 9.206949e-01 6.906188e+04 4.004158e+01 1.025629e+00
5.100000e+03 1.547394e-02 2.033722e+00 4.084503e+02 9.202859e-01 1.419141e+05 7.501828e+01 1.013517e+00
5.200000e+03 1.780966e-02 4.094061e-01 1.512838e+02 9.190852e-01 7.808656e+04 3.485775e+01 1.029549e+00
5.300000e+03 1.685010e-02 4.452249e-01 1.360813e+02 9.187994e-01 5.714586e+04 2.962070e+01 1.034958e+00
5.400000e+03 1.561484e-02 5.844797e-01 2.795043e+02 9.174464e-01 9.010381e+04 5.214930e+01 1.019562e+00
5.500000e+03 1.684048e-02 8.005704e-01 2.519586e+02 9.172008e-01 9.732162e+04 4.805789e+01 1.021261e+00
5.600000e+03 2.189261e-02 2.162671e-01 7.310014e+01 9.166613e-01 4.748390e+04 2.281989e+01 1.045853e+00
5.700000e+03 1.691508e-02 1.609652e-01 9.344625e+01 9.149172e-01 7.190467e+04 3.765546e+01 1.027296e+00
5.800000e+03 1.516713e-02 5.684654e-01 1.518388e+02 9.136155e-01 1.130884e+05 6.299323e+01 1.016140e+00
5.900000e+03 1.500124e-02 4.895671e-01 3.210724e+02 9.119726e-01 1.061849e+05 4.812712e+01 1.021229e+00
6.000000e+03 1.743931e-02 3.199524e-01 2.667049e+02 9.095068e-01 1.135473e+05 5.415883e+01 1.018821e+00
6.100000e+03 1.270744e-02 4.614750e-01 4.264309e+02 9.070587e-01 1.327866e+05 6.680909e+01 1.015203e+00
6.200000e+03 9.999694e-03 1.708539e-01 2.626154e+02 9.040557e-01 1.294272e+05 6.176036e+01 1.016466e+00
6.300000e+03 1.237603e-02 4.907949e-01 3.682511e+02 9.018851e-01 1.450985e+05 7.425848e+01 1.013657e+00
6.400000e+03 1.389728e-02 1.885331e-01 2.815087e+02 8.999307e-01 1.107749e+05 5.301954e+01 1.019233e+00
6.500000e+03 1.251700e-02 3.207420e-01 2.306202e+02 8.980452e-01 1.108081e+05 5.726128e+01 1.017784e+00
6.600000e+03 1.235489e-02 2.034739e-01 9.684884e+01 8.968420e-01 6.133222e+04 3.013459e+01 1.034341e+00
6.700000e+03 1.277414e-02 1.220962e+00 1.537617e+02 8.955590e-01 8.229601e+04 4.712809e+01 1.021691e+00
6.800000e+03 1.354186e-02 2.569275e-01 2.144755e+02 8.942725e-01 1.020306e+05 4.096084e+01 1.025035e+00
6.900000e+03 1.356086e-02 5.467434e-01 2.361930e+02 8.923965e-01 1.173570e+05 5.571824e+01 1.018284e+00
7.000000e+03 1.291073e-02 3.845904e-01 1.278988e+02 8.918152e-01 9.698378e+04 4.950128e+01 1.020629e+00
7.100000e+03 1.039137e-02 3.760777e-01 1.728112e+02 8.902389e-01 9.540304e+04 5.126746e+01 1.019904e+00
7.200000e+03 1.104623e-02 4.536984e-01 2.010334e+02 8.896101e-01 1.021367e+05 5.657345e+01 1.018004e+00
7.300000e+03 1.175776e-02 4.016414e-01 4.961362e+02 8.895777e-01 1.370177e+05 6.753062e+01 1.015038e+00
7.400000e+03 1.072439e-02 3.123000e-01 3.676215e+02 8.878757e-01 1.498156e+05 8.153753e+01 1.012423e+00
7.500000e+03 1.159421e-02 2.199631e-01 2.380622e+02 8.870181e-01 1.114678e+05 6.040235e+01 1.016844e+00
7.600000e+03 1.016541e-02 1.572654e-01 2.858682e+02 8.858709e-01 1.262674e+05 6.509663e+01 1.015610e+00
