# iteration  lambda_u  lambda_ut  lambda_r
9.900000e+03 6.670548e+08 3.059351e+07 1.000000e+00
1.000000e+04 6.343240e+08 2.914776e+07 1.000000e+00
1.010000e+04 6.246954e+08 2.913708e+07 1.000000e+00
1.020000e+04 6.360315e+08 2.953945e+07 1.000000e+00
1.030000e+04 6.215458e+08 2.900475e+07 1.000000e+00
1.040000e+04 6.089645e+08 2.780149e+07 1.000000e+00
1.050000e+04 6.188645e+08 2.895214e+07 1.000000e+00
1.060000e+04 6.179135e+08 2.838097e+07 1.000000e+00
1.070000e+04 6.020927e+08 2.845646e+07 1.000000e+00
1.080000e+04 6.067344e+08 2.920228e+07 1.000000e+00
1.090000e+04 5.944152e+08 2.910726e+07 1.000000e+00
1.100000e+04 5.978112e+08 2.861376e+07 1.000000e+00
1.110000e+04 5.828495e+08 2.789390e+07 1.000000e+00
1.120000e+04 5.692572e+08 2.702740e+07 1.000000e+00
1.130000e+04 5.626476e+08 2.762127e+07 1.000000e+00
1.140000e+04 5.741235e+08 2.805014e+07 1.000000e+00
1.150000e+04 5.412734e+08 2.657629e+07 1.000000e+00
1.160000e+04 5.668449e+08 2.678160e+07 1.000000e+00
1.170000e+04 5.660115e+08 2.719982e+07 1.000000e+00
1.180000e+04 5.477861e+08 2.708731e+07 1.000000e+00
1.190000e+04 5.376776e+08 2.632025e+07 1.000000e+00
1.200000e+04 5.460842e+08 2.690501e+07 1.000000e+00
1.210000e+04 5.552810e+08 2.765626e+07 1.000000e+00
1.220000e+04 5.426650e+08 2.750288e+07 1.000000e+00
1.230000e+04 5.385748e+08 2.805411e+07 1.000000e+00
1.240000e+04 5.325247e+08 2.677646e+07 1.000000e+00
1.250000e+04 5.137063e+08 2.631833e+07 1.000000e+00
1.260000e+04 5.203329e+08 2.546212e+07 1.000000e+00
1.270000e+04 5.271785e+08 2.615593e+07 1.000000e+00
1.280000e+04 5.260913e+08 2.614340e+07 1.000000e+00
1.290000e+04 5.186098e+08 2.579216e+07 1.000000e+00
1.300000e+04 5.121470e+08 2.561728e+07 1.000000e+00
1.310000e+04 5.286854e+08 2.663103e+07 1.000000e+00
1.320000e+04 5.075950e+08 2.557660e+07 1.000000e+00
1.330000e+04 4.908867e+08 2.535341e+07 1.000000e+00
1.340000e+04 4.899309e+08 2.466268e+07 1.000000e+00
1.350000e+04 4.942066e+08 2.527751e+07 1.000000e+00
1.360000e+04 4.832609e+08 2.429897e+07 1.000000e+00
1.370000e+04 5.019845e+08 2.481253e+07 1.000000e+00
1.380000e+04 4.958168e+08 2.418597e+07 1.000000e+00
1.390000e+04 4.996463e+08 2.563263e+07 1.000000e+00
1.400000e+04 4.771807e+08 2.347248e+07 1.000000e+00
1.410000e+04 4.795137e+08 2.470768e+07 1.000000e+00
1.420000e+04 4.724091e+08 2.456869e+07 1.000000e+00
1.430000e+04 4.789333e+08 2.519622e+07 1.000000e+00
1.440000e+04 4.877870e+08 2.519717e+07 1.000000e+00
1.450000e+04 4.704122e+08 2.382103e+07 1.000000e+00
1.460000e+04 4.661017e+08 2.372823e+07 1.000000e+00
1.470000e+04 4.542900e+08 2.330937e+07 1.000000e+00
1.480000e+04 4.661259e+08 2.361396e+07 1.000000e+00
1.490000e+04 4.626973e+08 2.381666e+07 1.000000e+00
1.500000e+04 4.714281e+08 2.373235e+07 1.000000e+00
1.510000e+04 4.520501e+08 2.273334e+07 1.000000e+00
1.520000e+04 4.785409e+08 2.455933e+07 1.000000e+00
1.530000e+04 4.606265e+08 2.282498e+07 1.000000e+00
1.540000e+04 4.638402e+08 2.313412e+07 1.000000e+00
1.550000e+04 4.509822e+08 2.373774e+07 1.000000e+00
1.560000e+04 4.468674e+08 2.226466e+07 1.000000e+00
1.570000e+04 4.374633e+08 2.234091e+07 1.000000e+00
1.580000e+04 4.334173e+08 2.223574e+07 1.000000e+00
1.590000e+04 4.386828e+08 2.255917e+07 1.000000e+00
1.600000e+04 4.606107e+08 2.369659e+07 1.000000e+00
1.610000e+04 4.442544e+08 2.288270e+07 1.000000e+00
1.620000e+04 4.301896e+08 2.102642e+07 1.000000e+00
1.630000e+04 4.365874e+08 2.197549e+07 1.000000e+00
1.640000e+04 4.326906e+08 2.200115e+07 1.000000e+00
1.650000e+04 4.242812e+08 2.046454e+07 1.000000e+00
1.660000e+04 4.334652e+08 2.230972e+07 1.000000e+00
1.670000e+04 4.376797e+08 2.157179e+07 1.000000e+00
1.680000e+04 4.443624e+08 2.179182e+07 1.000000e+00
