# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
4.900000e+03 1.348783e-03 1.160294e-03 1.662417e+03 4.438144e-01 7.879032e+05 3.319928e+05 1.000004e+00
5.000000e+03 1.036496e-03 5.386459e-05 2.322699e+03 4.520376e-01 8.066054e+05 4.250959e+05 1.000004e+00
5.100000e+03 8.757696e-04 4.157309e-03 1.242481e+03 4.390070e-01 7.815646e+05 4.415157e+05 1.000004e+00
5.200000e+03 7.824780e-04 7.772130e-05 1.200864e+03 4.190601e-01 7.554491e+05 4.051382e+05 1.000004e+00
5.300000e+03 8.924099e-04 3.142786e-05 1.456135e+03 4.045159e-01 7.736735e+05 3.748198e+05 1.000004e+00
5.400000e+03 6.911856e-04 2.703798e-04 1.169584e+03 3.949436e-01 8.096691e+05 4.014135e+05 1.000004e+00
5.500000e+03 7.812909e-04 5.813636e-04 1.403438e+03 3.879062e-01 8.380436e+05 4.026434e+05 1.000004e+00
5.600000e+03 7.957874e-04 1.102171e-03 1.041954e+03 3.766683e-01 8.005957e+05 3.952980e+05 1.000004e+00
5.700000e+03 7.570385e-04 3.299046e-05 7.817855e+02 3.661846e-01 8.008606e+05 4.267319e+05 1.000004e+00
5.800000e+03 1.249262e-03 3.752685e-04 1.100070e+03 3.618595e-01 7.737767e+05 4.194612e+05 1.000004e+00
5.900000e+03 6.932002e-04 1.092347e-04 9.480992e+02 3.435168e-01 8.266993e+05 4.220144e+05 1.000004e+00
6.000000e+03 5.955629e-04 8.605100e-05 6.342302e+02 3.315876e-01 8.129662e+05 3.938703e+05 1.000004e+00
6.100000e+03 5.464199e-04 4.751061e-04 1.097267e+03 3.242746e-01 8.417477e+05 4.070563e+05 1.000004e+00
6.200000e+03 1.082190e-03 3.225981e-04 8.295267e+02 3.164230e-01 8.110258e+05 3.960213e+05 1.000004e+00
6.300000e+03 5.860167e-04 2.293510e-05 1.001722e+03 3.132919e-01 8.247852e+05 4.170196e+05 1.000004e+00
6.400000e+03 1.264525e-03 1.963047e-04 1.426263e+03 3.212102e-01 8.445999e+05 4.308468e+05 1.000004e+00
6.500000e+03 4.532965e-04 6.568200e-04 6.856810e+02 3.030757e-01 7.895558e+05 4.465398e+05 1.000004e+00
6.600000e+03 6.703118e-04 2.073925e-03 5.190868e+02 2.996394e-01 8.241948e+05 4.399689e+05 1.000003e+00
6.700000e+03 5.489420e-04 8.113623e-04 6.914713e+02 2.953517e-01 7.712511e+05 5.026256e+05 1.000003e+00
6.800000e+03 4.376984e-04 3.046749e-05 8.524901e+02 2.797911e-01 8.229887e+05 4.202717e+05 1.000004e+00
6.900000e+03 7.604483e-04 3.521180e-03 8.321186e+02 2.759624e-01 8.067901e+05 4.386449e+05 1.000004e+00
7.000000e+03 7.887304e-04 1.560349e-04 6.372398e+02 2.754878e-01 8.380721e+05 4.740062e+05 1.000003e+00
7.100000e+03 3.918734e-04 5.855692e-05 1.064157e+03 2.639232e-01 7.959633e+05 4.817340e+05 1.000003e+00
7.200000e+03 3.807316e-04 3.821552e-03 9.056640e+02 2.556687e-01 8.221694e+05 4.927118e+05 1.000003e+00
7.300000e+03 3.406158e-04 7.377575e-05 4.813504e+02 2.517773e-01 8.158365e+05 4.654428e+05 1.000003e+00
7.400000e+03 3.287704e-04 2.027502e-03 4.254805e+02 2.468480e-01 8.258341e+05 5.023502e+05 1.000003e+00
7.500000e+03 4.854882e-04 2.416764e-05 1.205529e+03 2.430142e-01 8.330422e+05 5.186332e+05 1.000003e+00
7.600000e+03 6.453221e-04 9.810673e-03 6.647817e+02 2.332805e-01 8.426707e+05 4.873100e+05 1.000003e+00
7.700000e+03 6.143087e-04 7.238040e-05 5.768579e+02 2.309947e-01 8.419524e+05 4.435735e+05 1.000003e+00
7.800000e+03 3.106146e-04 1.888852e-06 3.811600e+02 2.206916e-01 8.349394e+05 4.542735e+05 1.000003e+00
7.900000e+03 8.203622e-04 1.855101e-04 1.296799e+03 2.193856e-01 8.655077e+05 4.830792e+05 1.000003e+00
8.000000e+03 2.311809e-04 1.891881e-05 3.817668e+02 2.103267e-01 8.416354e+05 4.721491e+05 1.000003e+00
8.100000e+03 2.287942e-04 2.504753e-03 1.184885e+03 2.124526e-01 8.583218e+05 4.816155e+05 1.000003e+00
8.200000e+03 2.420609e-04 1.607489e-03 4.635110e+02 2.074835e-01 8.246330e+05 5.229376e+05 1.000003e+00
8.300000e+03 2.810494e-04 2.540724e-04 4.499575e+02 1.955710e-01 8.501767e+05 4.922750e+05 1.000003e+00
8.400000e+03 1.935375e-04 1.190588e-04 4.988017e+02 1.886903e-01 8.286186e+05 4.615130e+05 1.000003e+00
8.500000e+03 6.491444e-04 3.468221e-05 6.239977e+02 2.024774e-01 8.849946e+05 5.006230e+05 1.000003e+00
8.600000e+03 2.583576e-04 2.846404e-06 6.021700e+02 1.893933e-01 8.041217e+05 4.718546e+05 1.000003e+00
8.700000e+03 2.110795e-04 1.078631e-04 1.579022e+03 1.887107e-01 8.828037e+05 5.521715e+05 1.000003e+00
8.800000e+03 3.147898e-04 1.329404e-05 5.363062e+02 1.838512e-01 8.003761e+05 4.662248e+05 1.000003e+00
8.900000e+03 3.416773e-04 1.679932e-05 6.183497e+02 1.767660e-01 8.211105e+05 4.986404e+05 1.000003e+00
9.000000e+03 1.931672e-04 1.878488e-04 3.301952e+02 1.718046e-01 8.352567e+05 5.103765e+05 1.000003e+00
9.100000e+03 2.311445e-04 1.438376e-03 3.651561e+02 1.707936e-01 8.257636e+05 5.324630e+05 1.000003e+00
9.200000e+03 4.350603e-04 5.157497e-04 7.137297e+02 1.697151e-01 9.248163e+05 5.537847e+05 1.000003e+00
9.300000e+03 1.590113e-04 7.656691e-04 4.572421e+02 1.632146e-01 8.647782e+05 5.629718e+05 1.000003e+00
9.400000e+03 1.545666e-04 2.034660e-05 3.477043e+02 1.534462e-01 8.391746e+05 4.856819e+05 1.000003e+00
9.500000e+03 1.404550e-04 3.409387e-04 2.931702e+02 1.474042e-01 8.607949e+05 5.028804e+05 1.000003e+00
9.600000e+03 2.850970e-04 1.188926e-03 5.100608e+02 1.528140e-01 8.968542e+05 5.358661e+05 1.000003e+00
9.700000e+03 4.487801e-04 7.849909e-04 8.502701e+02 1.481129e-01 8.429847e+05 5.289177e+05 1.000003e+00
9.800000e+03 1.380968e-04 1.586860e-05 4.531799e+02 1.468180e-01 9.066913e+05 5.526328e+05 1.000003e+00
9.900000e+03 2.572324e-04 4.325366e-03 1.779502e+03 1.448915e-01 8.810790e+05 5.778436e+05 1.000003e+00
1.000000e+04 1.189749e-04 6.025245e-06 1.755270e+02 1.378900e-01 8.554217e+05 5.194563e+05 1.000003e+00
1.010000e+04 1.311924e-04 1.116704e-05 2.103071e+02 1.309170e-01 8.410754e+05 4.869074e+05 1.000003e+00
1.020000e+04 2.743549e-04 4.701801e-04 4.402953e+02 1.281303e-01 9.126115e+05 5.403703e+05 1.000003e+00
1.030000e+04 1.180265e-04 2.495496e-04 2.410485e+02 1.270496e-01 8.944247e+05 5.252136e+05 1.000003e+00
1.040000e+04 1.474110e-04 1.883298e-05 2.793634e+02 1.195520e-01 8.599203e+05 4.985246e+05 1.000003e+00
1.050000e+04 1.045525e-04 3.638567e-04 3.277328e+02 1.182634e-01 9.019606e+05 5.358020e+05 1.000003e+00
1.060000e+04 2.554348e-04 3.602020e-05 8.683356e+02 1.277510e-01 9.005565e+05 5.685775e+05 1.000003e+00
1.070000e+04 1.045910e-04 8.161882e-04 2.947090e+02 1.201828e-01 8.802693e+05 5.651995e+05 1.000003e+00
1.080000e+04 8.291846e-05 1.256746e-04 1.501966e+02 1.149004e-01 8.740489e+05 5.822844e+05 1.000003e+00
1.090000e+04 8.218355e-05 6.415424e-04 1.884265e+02 1.120533e-01 9.085108e+05 5.794696e+05 1.000003e+00
1.100000e+04 2.291420e-04 4.484379e-06 4.669315e+02 1.271709e-01 9.130416e+05 6.186509e+05 1.000003e+00
1.110000e+04 8.114504e-05 8.451888e-06 1.695649e+02 1.152664e-01 8.557270e+05 5.942733e+05 1.000003e+00
1.120000e+04 7.819149e-05 2.040302e-05 2.163310e+02 1.076602e-01 8.923424e+05 5.754568e+05 1.000003e+00
1.130000e+04 1.106522e-04 3.443292e-06 1.477622e+02 1.017943e-01 8.661781e+05 5.767099e+05 1.000003e+00
1.140000e+04 1.336808e-04 2.873297e-05 2.907164e+02 1.169538e-01 9.078077e+05 6.443546e+05 1.000003e+00
1.150000e+04 8.612871e-05 2.120850e-06 3.170497e+02 1.053064e-01 8.297880e+05 5.528772e+05 1.000003e+00
1.160000e+04 8.948872e-05 9.053536e-06 2.230085e+02 9.975497e-02 8.365276e+05 5.591667e+05 1.000003e+00
1.170000e+04 9.033312e-05 8.530459e-06 7.133592e+02 9.424392e-02 8.371237e+05 5.517091e+05 1.000003e+00
1.180000e+04 4.818189e-05 5.205685e-06 2.202773e+02 9.217674e-02 8.869768e+05 5.899847e+05 1.000003e+00
1.190000e+04 5.379287e-05 4.446228e-05 1.808886e+02 9.005531e-02 8.912604e+05 5.970492e+05 1.000003e+00
1.200000e+04 6.571593e-05 2.721089e-04 2.069679e+02 8.711833e-02 8.502693e+05 6.213801e+05 1.000003e+00
1.210000e+04 1.394103e-04 1.685543e-03 4.140436e+02 8.754285e-02 9.009022e+05 5.923874e+05 1.000003e+00
1.220000e+04 6.223252e-05 3.828983e-05 3.003094e+02 8.697353e-02 8.754513e+05 6.336776e+05 1.000003e+00
1.230000e+04 1.027375e-04 1.912262e-04 4.413980e+02 8.707455e-02 8.736002e+05 6.124518e+05 1.000003e+00
1.240000e+04 6.288837e-05 5.735357e-06 1.728737e+02 8.157727e-02 8.785407e+05 5.482997e+05 1.000003e+00
1.250000e+04 4.233264e-05 1.126400e-04 1.225950e+02 8.175070e-02 8.924268e+05 6.092408e+05 1.000003e+00
1.260000e+04 6.405835e-05 1.656393e-06 1.292257e+02 7.603962e-02 9.356791e+05 6.546032e+05 1.000003e+00
1.270000e+04 9.363581e-05 8.024578e-05 3.896320e+02 7.335907e-02 8.995300e+05 5.831347e+05 1.000003e+00
1.280000e+04 4.584140e-05 7.414947e-06 1.771193e+02 7.482935e-02 9.459560e+05 6.150189e+05 1.000003e+00
1.290000e+04 3.308564e-05 1.756498e-05 1.170514e+02 6.987039e-02 8.993990e+05 6.156844e+05 1.000003e+00
1.300000e+04 1.558642e-04 2.561128e-03 2.674737e+02 6.832112e-02 8.927421e+05 5.647178e+05 1.000003e+00
1.310000e+04 4.386366e-05 1.132118e-06 1.027996e+02 6.750894e-02 8.901595e+05 5.409431e+05 1.000003e+00
1.320000e+04 1.534039e-04 5.249234e-05 2.609732e+02 6.969787e-02 9.321655e+05 5.884018e+05 1.000003e+00
1.330000e+04 3.394672e-05 4.703135e-06 1.245438e+02 6.752113e-02 8.892697e+05 5.993128e+05 1.000003e+00
1.340000e+04 4.603381e-05 2.168545e-05 7.751002e+01 6.363999e-02 9.153706e+05 6.230177e+05 1.000003e+00
1.350000e+04 4.337234e-05 3.560046e-06 2.326055e+02 6.918728e-02 9.504637e+05 6.754127e+05 1.000003e+00
1.360000e+04 4.312798e-05 1.692870e-06 9.698681e+01 6.371409e-02 9.156339e+05 5.844617e+05 1.000003e+00
1.370000e+04 7.215612e-05 1.147078e-05 1.329591e+02 6.004606e-02 8.784499e+05 5.622923e+05 1.000003e+00
1.380000e+04 4.630670e-05 2.347572e-06 1.450221e+02 5.796623e-02 9.099714e+05 5.447775e+05 1.000003e+00
1.390000e+04 9.226018e-05 1.092936e-05 2.423757e+02 5.698459e-02 9.438586e+05 6.199381e+05 1.000003e+00
1.400000e+04 2.524672e-05 1.278730e-06 1.817659e+02 5.479784e-02 8.925835e+05 5.333839e+05 1.000003e+00
1.410000e+04 3.389773e-05 5.295303e-05 2.357668e+02 5.152621e-02 9.031175e+05 5.803801e+05 1.000003e+00
1.420000e+04 3.387453e-05 9.509125e-06 1.729603e+02 5.909212e-02 8.891863e+05 5.848788e+05 1.000003e+00
1.430000e+04 1.886075e-04 4.207931e-05 2.177198e+02 5.830569e-02 8.967959e+05 5.941696e+05 1.000003e+00
1.440000e+04 4.174466e-05 9.239240e-07 1.640243e+02 5.301076e-02 9.019266e+05 6.347868e+05 1.000003e+00
1.450000e+04 3.022858e-05 3.716831e-06 5.223269e+01 4.919508e-02 9.303451e+05 5.898041e+05 1.000003e+00
1.460000e+04 3.863195e-05 1.444219e-06 1.379429e+02 4.732603e-02 9.062325e+05 5.675516e+05 1.000003e+00
1.470000e+04 5.746934e-05 8.741732e-05 3.162123e+02 4.810092e-02 8.983780e+05 5.579356e+05 1.000003e+00
1.480000e+04 2.641238e-05 1.404409e-06 1.589385e+02 4.484477e-02 8.991814e+05 5.657610e+05 1.000003e+00
1.490000e+04 4.055566e-05 7.551930e-06 9.057523e+01 5.290626e-02 9.255349e+05 5.924876e+05 1.000003e+00
1.500000e+04 6.408754e-05 2.111429e-06 9.273758e+01 4.804270e-02 9.709376e+05 6.682710e+05 1.000003e+00
1.510000e+04 5.254546e-05 1.014689e-04 1.067169e+02 4.552685e-02 9.753728e+05 6.435619e+05 1.000003e+00
1.520000e+04 7.274817e-05 4.720372e-05 1.116032e+02 4.336668e-02 8.501863e+05 5.809008e+05 1.000003e+00
1.530000e+04 1.427549e-05 1.542715e-05 9.388234e+01 4.030566e-02 8.976308e+05 5.189640e+05 1.000003e+00
1.540000e+04 1.537528e-05 3.640923e-06 7.570553e+01 3.923228e-02 9.148325e+05 5.889565e+05 1.000003e+00
1.550000e+04 1.919033e-05 6.433611e-05 1.733731e+02 3.878532e-02 8.736771e+05 5.848477e+05 1.000003e+00
1.560000e+04 3.780973e-05 1.237641e-03 1.302285e+02 3.742616e-02 9.193708e+05 5.697763e+05 1.000003e+00
1.570000e+04 2.199889e-05 4.521112e-07 1.623393e+02 5.061359e-02 9.712146e+05 6.394113e+05 1.000003e+00
1.580000e+04 1.307867e-05 9.243022e-07 7.278604e+01 4.453795e-02 9.130787e+05 6.115374e+05 1.000003e+00
1.590000e+04 2.027622e-05 2.015415e-06 5.537917e+01 4.123827e-02 9.169384e+05 6.436200e+05 1.000003e+00
1.600000e+04 2.724737e-05 3.930287e-06 1.179564e+02 3.816529e-02 8.776943e+05 6.014761e+05 1.000003e+00
1.610000e+04 1.544068e-05 9.820017e-06 6.068978e+01 3.658594e-02 9.059626e+05 5.593346e+05 1.000003e+00
1.620000e+04 2.479894e-05 1.767665e-06 1.369565e+02 3.589370e-02 9.149686e+05 5.413775e+05 1.000003e+00
1.630000e+04 2.870402e-05 9.591747e-05 5.681856e+01 3.368104e-02 9.271056e+05 6.259962e+05 1.000003e+00
1.640000e+04 9.920677e-06 3.852127e-05 4.094370e+01 3.287799e-02 9.495387e+05 6.209759e+05 1.000003e+00
1.650000e+04 1.133073e-05 6.484844e-07 6.376191e+01 3.115147e-02 9.183571e+05 5.718386e+05 1.000003e+00
1.660000e+04 1.338624e-05 3.774338e-07 8.934315e+01 3.456569e-02 9.265001e+05 6.791325e+05 1.000003e+00
1.670000e+04 2.752864e-05 6.346067e-06 6.282497e+01 3.217716e-02 9.374514e+05 6.908171e+05 1.000003e+00
1.680000e+04 2.270421e-05 6.258824e-07 7.963494e+01 2.965319e-02 9.776737e+05 6.169144e+05 1.000003e+00
1.690000e+04 7.799919e-06 2.229856e-07 6.122413e+01 2.777575e-02 9.004573e+05 5.507024e+05 1.000003e+00
1.700000e+04 4.964394e-05 2.199622e-06 5.122627e+02 2.840969e-02 9.534446e+05 6.076016e+05 1.000003e+00
1.710000e+04 1.718423e-05 5.022371e-05 9.256233e+01 2.840404e-02 9.578273e+05 6.357596e+05 1.000003e+00
1.720000e+04 7.004696e-06 2.979736e-06 6.336142e+01 2.696619e-02 9.204231e+05 5.927105e+05 1.000003e+00
1.730000e+04 1.495741e-05 2.263432e-06 2.368440e+02 2.576898e-02 8.680954e+05 5.499142e+05 1.000003e+00
1.740000e+04 5.132023e-05 1.030646e-06 8.366223e+01 2.738596e-02 9.176008e+05 5.330759e+05 1.000003e+00
1.750000e+04 1.968316e-05 1.137796e-05 6.514989e+01 2.627058e-02 8.960504e+05 5.337462e+05 1.000003e+00
1.760000e+04 1.221738e-05 7.305351e-05 5.678291e+01 2.464780e-02 9.097937e+05 5.767093e+05 1.000003e+00
1.770000e+04 1.268445e-05 2.728547e-05 1.256982e+02 2.477779e-02 8.970733e+05 5.503971e+05 1.000003e+00
1.780000e+04 1.659069e-05 1.143388e-06 1.090682e+02 3.148564e-02 9.697779e+05 6.560384e+05 1.000003e+00
1.790000e+04 1.260963e-05 3.211827e-06 3.390160e+01 2.783590e-02 9.208528e+05 6.203477e+05 1.000003e+00
