# iteration  lambda_u  lambda_ut  lambda_r
9.900000e+03 1.456387e+05 8.194425e+01 1.012361e+00
1.000000e+04 1.608844e+05 8.109545e+01 1.012491e+00
1.010000e+04 1.636398e+05 8.099944e+01 1.012506e+00
1.020000e+04 1.351339e+05 6.762492e+01 1.015017e+00
1.030000e+04 1.009381e+05 4.817338e+01 1.021209e+00
1.040000e+04 1.594715e+05 7.532250e+01 1.013461e+00
1.050000e+04 8.811698e+04 4.184534e+01 1.024495e+00
1.060000e+04 1.361909e+05 6.910594e+01 1.014691e+00
1.070000e+04 1.448005e+05 7.314456e+01 1.013868e+00
1.080000e+04 9.398769e+04 5.307929e+01 1.019213e+00
1.090000e+04 1.382632e+05 7.302585e+01 1.013891e+00
1.100000e+04 9.879599e+04 5.535348e+01 1.018409e+00
1.110000e+04 8.633894e+04 4.741602e+01 1.021556e+00
1.120000e+04 1.279358e+05 6.441024e+01 1.015778e+00
1.130000e+04 1.753824e+05 9.679000e+01 1.010445e+00
1.140000e+04 1.099390e+05 6.557415e+01 1.015495e+00
1.150000e+04 1.505341e+05 7.238622e+01 1.014015e+00
1.160000e+04 1.779244e+05 9.006096e+01 1.011234e+00
1.170000e+04 1.007524e+05 5.048878e+01 1.020217e+00
1.180000e+04 1.815507e+05 9.610776e+01 1.010520e+00
1.190000e+04 1.352604e+05 7.014947e+01 1.014469e+00
1.200000e+04 1.319670e+05 7.555558e+01 1.013421e+00
1.210000e+04 1.209023e+05 6.418977e+01 1.015834e+00
1.220000e+04 1.446419e+05 8.291005e+01 1.012216e+00
1.230000e+04 1.045524e+05 5.863621e+01 1.017360e+00
1.240000e+04 1.182993e+05 5.585389e+01 1.018239e+00
1.250000e+04 1.294646e+05 7.062623e+01 1.014370e+00
1.260000e+04 2.025319e+05 1.119547e+02 1.009018e+00
1.270000e+04 1.379910e+05 7.076335e+01 1.014342e+00
1.280000e+04 1.862301e+05 9.740613e+01 1.010378e+00
1.290000e+04 1.476441e+05 8.117979e+01 1.012479e+00
1.300000e+04 1.088286e+05 5.407527e+01 1.018851e+00
1.310000e+04 1.447588e+05 6.939912e+01 1.014627e+00
1.320000e+04 1.360835e+05 6.903966e+01 1.014705e+00
1.330000e+04 1.454146e+05 7.733208e+01 1.013108e+00
1.340000e+04 1.309934e+05 7.066882e+01 1.014361e+00
1.350000e+04 1.150808e+05 6.300431e+01 1.016137e+00
1.360000e+04 1.431249e+05 6.974573e+01 1.014554e+00
1.370000e+04 1.578593e+05 8.013982e+01 1.012642e+00
1.380000e+04 1.119255e+05 5.069546e+01 1.020132e+00
1.390000e+04 1.043490e+05 5.460233e+01 1.018666e+00
1.400000e+04 8.960359e+04 4.061985e+01 1.025252e+00
1.410000e+04 1.114553e+05 5.841943e+01 1.017425e+00
1.420000e+04 1.475062e+05 7.679502e+01 1.013200e+00
1.430000e+04 1.399168e+05 7.322036e+01 1.013854e+00
1.440000e+04 1.501596e+05 8.257439e+01 1.012266e+00
1.450000e+04 1.067363e+05 5.285238e+01 1.019295e+00
1.460000e+04 2.014628e+05 1.021463e+02 1.009892e+00
1.470000e+04 1.612966e+05 8.265311e+01 1.012253e+00
1.480000e+04 1.194908e+05 5.833884e+01 1.017449e+00
1.490000e+04 1.094867e+05 5.884569e+01 1.017297e+00
1.500000e+04 1.041780e+05 5.702679e+01 1.017859e+00
1.510000e+04 2.029644e+05 1.037697e+02 1.009736e+00
1.520000e+04 1.710747e+05 9.142289e+01 1.011065e+00
1.530000e+04 1.617346e+05 7.139363e+01 1.014212e+00
1.540000e+04 1.557773e+05 7.776242e+01 1.013034e+00
1.550000e+04 1.546867e+05 8.458036e+01 1.011971e+00
1.560000e+04 1.636350e+05 8.263623e+01 1.012256e+00
1.570000e+04 7.547118e+04 3.863872e+01 1.026582e+00
1.580000e+04 1.361310e+05 7.137984e+01 1.014216e+00
1.590000e+04 1.251894e+05 6.934131e+01 1.014641e+00
1.600000e+04 9.194171e+04 5.100269e+01 1.020010e+00
1.610000e+04 1.211084e+05 6.000238e+01 1.016957e+00
1.620000e+04 1.831079e+05 8.145385e+01 1.012435e+00
1.630000e+04 1.649064e+05 8.837569e+01 1.011451e+00
1.640000e+04 1.091692e+05 5.759353e+01 1.017679e+00
1.650000e+04 1.570699e+05 7.614220e+01 1.013315e+00
1.660000e+04 1.250686e+05 7.624297e+01 1.013298e+00
1.670000e+04 2.125898e+05 1.226339e+02 1.008226e+00
1.680000e+04 1.517363e+05 7.337255e+01 1.013824e+00
1.690000e+04 1.763121e+05 8.248439e+01 1.012278e+00
1.700000e+04 1.043506e+05 5.173054e+01 1.019722e+00
1.710000e+04 1.590793e+05 8.566610e+01 1.011818e+00
1.720000e+04 2.107214e+05 1.075187e+02 1.009393e+00
1.730000e+04 1.615779e+05 7.876330e+01 1.012866e+00
1.740000e+04 1.599075e+05 7.431696e+01 1.013646e+00
1.750000e+04 1.541319e+05 7.307329e+01 1.013881e+00
1.760000e+04 1.383992e+05 6.935681e+01 1.014637e+00
1.770000e+04 1.014985e+05 4.990956e+01 1.020456e+00
1.780000e+04 1.539251e+05 8.312759e+01 1.012183e+00
1.790000e+04 1.301392e+05 6.602741e+01 1.015386e+00
1.800000e+04 1.522878e+05 8.262819e+01 1.012257e+00
1.810000e+04 1.433298e+05 7.289178e+01 1.013917e+00
1.820000e+04 1.210167e+05 6.394586e+01 1.015895e+00
1.830000e+04 9.820865e+04 4.745222e+01 1.021538e+00
1.840000e+04 1.550426e+05 8.821683e+01 1.011472e+00
1.850000e+04 1.870750e+05 9.919396e+01 1.010189e+00
1.860000e+04 1.443024e+05 7.970723e+01 1.012712e+00
1.870000e+04 1.552374e+05 8.492538e+01 1.011922e+00
1.880000e+04 1.738817e+05 8.605678e+01 1.011763e+00
1.890000e+04 1.518162e+05 7.676435e+01 1.013206e+00
1.900000e+04 1.622080e+05 8.679075e+01 1.011663e+00
1.910000e+04 1.747731e+05 9.462465e+01 1.010687e+00
1.920000e+04 1.278792e+05 6.469719e+01 1.015707e+00
1.930000e+04 1.982047e+05 1.142413e+02 1.008836e+00
1.940000e+04 1.442224e+05 8.178498e+01 1.012386e+00
1.950000e+04 1.491645e+05 7.483425e+01 1.013551e+00
1.960000e+04 2.513016e+05 1.079547e+02 1.009354e+00
1.970000e+04 1.504190e+05 8.132154e+01 1.012457e+00
1.980000e+04 1.755543e+05 1.014375e+02 1.009962e+00
1.990000e+04 1.627139e+05 9.637682e+01 1.010491e+00
2.000000e+04 1.853601e+05 1.069833e+02 1.009441e+00
2.010000e+04 1.619491e+05 9.407763e+01 1.010750e+00
2.020000e+04 1.479834e+05 7.468152e+01 1.013579e+00
2.030000e+04 1.948621e+05 1.013826e+02 1.009967e+00
2.040000e+04 1.242714e+05 6.710843e+01 1.015135e+00
2.050000e+04 1.078122e+05 6.236993e+01 1.016304e+00
2.060000e+04 1.344700e+05 6.481471e+01 1.015678e+00
2.070000e+04 9.328709e+04 4.299626e+01 1.023823e+00
2.080000e+04 1.292506e+05 6.483248e+01 1.015674e+00
2.090000e+04 1.328372e+05 6.969600e+01 1.014565e+00
2.100000e+04 1.728855e+05 9.250176e+01 1.010935e+00
2.110000e+04 1.870958e+05 8.990147e+01 1.011254e+00
2.120000e+04 1.587901e+05 9.307366e+01 1.010867e+00
2.130000e+04 1.544872e+05 8.337690e+01 1.012146e+00
2.140000e+04 1.178305e+05 5.951675e+01 1.017098e+00
2.150000e+04 1.879836e+05 9.526762e+01 1.010614e+00
2.160000e+04 8.750640e+04 4.614503e+01 1.022163e+00
2.170000e+04 2.026220e+05 1.133467e+02 1.008906e+00
2.180000e+04 1.430818e+05 6.718271e+01 1.015117e+00
2.190000e+04 1.187238e+05 6.383920e+01 1.015922e+00
2.200000e+04 1.530537e+05 7.598669e+01 1.013342e+00
2.210000e+04 1.164424e+05 5.207724e+01 1.019587e+00
2.220000e+04 1.770044e+05 8.143772e+01 1.012438e+00
2.230000e+04 2.155263e+05 1.064369e+02 1.009489e+00
2.240000e+04 1.716243e+05 9.999164e+01 1.010108e+00
2.250000e+04 1.616446e+05 8.717550e+01 1.011611e+00
2.260000e+04 1.603676e+05 7.665079e+01 1.013225e+00
2.270000e+04 1.676405e+05 9.074162e+01 1.011149e+00
2.280000e+04 1.850034e+05 1.027326e+02 1.009835e+00
2.290000e+04 1.870646e+05 1.031938e+02 1.009791e+00
2.300000e+04 1.708476e+05 8.029902e+01 1.012616e+00
2.310000e+04 2.232172e+05 1.281238e+02 1.007871e+00
2.320000e+04 1.496426e+05 9.237369e+01 1.010951e+00
2.330000e+04 1.582716e+05 7.974586e+01 1.012706e+00
2.340000e+04 1.295774e+05 6.667567e+01 1.015234e+00
2.350000e+04 1.140367e+05 6.580818e+01 1.015439e+00
2.360000e+04 1.805151e+05 9.521422e+01 1.010620e+00
2.370000e+04 1.546557e+05 7.728777e+01 1.013115e+00
2.380000e+04 1.881358e+05 9.652115e+01 1.010474e+00
2.390000e+04 1.723408e+05 8.566118e+01 1.011818e+00
2.400000e+04 1.937476e+05 1.184376e+02 1.008520e+00
2.410000e+04 2.124029e+05 1.026618e+02 1.009841e+00
2.420000e+04 1.691794e+05 9.463726e+01 1.010686e+00
2.430000e+04 1.298337e+05 7.232317e+01 1.014029e+00
2.440000e+04 1.213122e+05 6.691611e+01 1.015179e+00
2.450000e+04 1.896390e+05 1.098025e+02 1.009196e+00
2.460000e+04 1.231373e+05 6.302688e+01 1.016130e+00
2.470000e+04 1.114269e+05 6.341718e+01 1.016030e+00
2.480000e+04 1.181050e+05 5.813672e+01 1.017511e+00
2.490000e+04 1.000318e+05 5.031148e+01 1.020290e+00
2.500000e+04 1.321332e+05 6.855407e+01 1.014811e+00
2.510000e+04 1.061165e+05 5.157419e+01 1.019783e+00
2.520000e+04 1.490006e+05 7.186934e+01 1.014117e+00
2.530000e+04 1.012437e+05 5.482010e+01 1.018591e+00
2.540000e+04 1.086282e+05 5.124666e+01 1.019911e+00
2.550000e+04 1.032202e+05 5.373880e+01 1.018971e+00
2.560000e+04 1.482131e+05 7.226445e+01 1.014039e+00
2.570000e+04 1.938527e+05 1.049663e+02 1.009624e+00
2.580000e+04 1.832425e+05 9.015816e+01 1.011222e+00
2.590000e+04 1.372630e+05 6.664556e+01 1.015241e+00
2.600000e+04 1.202624e+05 6.361867e+01 1.015978e+00
2.610000e+04 1.472485e+05 8.190973e+01 1.012366e+00
2.620000e+04 1.259616e+05 7.118257e+01 1.014257e+00
2.630000e+04 1.889030e+05 9.077461e+01 1.011144e+00
2.640000e+04 1.190451e+05 5.670998e+01 1.017959e+00
2.650000e+04 1.551200e+05 8.046589e+01 1.012591e+00
2.660000e+04 1.674553e+05 9.133545e+01 1.011076e+00
2.670000e+04 1.157050e+05 6.421246e+01 1.015829e+00
2.680000e+04 1.658707e+05 7.700393e+01 1.013163e+00
2.690000e+04 1.740055e+05 9.581900e+01 1.010552e+00
2.700000e+04 1.572733e+05 7.803811e+01 1.012987e+00
2.710000e+04 2.106982e+05 1.186513e+02 1.008505e+00
2.720000e+04 2.145356e+05 1.129366e+02 1.008938e+00
2.730000e+04 8.102694e+04 4.531086e+01 1.022581e+00
2.740000e+04 8.483247e+04 4.300354e+01 1.023820e+00
2.750000e+04 1.406120e+05 7.022178e+01 1.014454e+00
2.760000e+04 2.194232e+05 1.175537e+02 1.008584e+00
2.770000e+04 1.474618e+05 8.279653e+01 1.012232e+00
