# iteration  loss_u  loss_ut  loss_res  l2_error  lam_u  lam_ut  lam_r
4.900000e+03 1.050958e-05 1.836761e-03 7.317823e+05 1.090231e+00 1.069211e+09 3.654228e+07 1.000000e+00
5.000000e+03 8.056602e-06 8.356965e-04 8.612998e+05 1.088283e+00 1.056866e+09 3.631799e+07 1.000000e+00
5.100000e+03 1.459643e-05 3.678496e-03 8.407908e+05 1.086090e+00 1.069589e+09 3.594421e+07 1.000000e+00
5.200000e+03 1.030206e-05 1.104890e-03 8.113748e+05 1.084790e+00 1.039487e+09 3.533409e+07 1.000000e+00
5.300000e+03 1.529626e-05 1.847999e-03 5.771997e+05 1.083088e+00 1.023693e+09 3.587940e+07 1.000000e+00
5.400000e+03 1.263005e-05 1.949657e-03 8.868084e+05 1.081264e+00 1.041952e+09 3.665483e+07 1.000000e+00
5.500000e+03 1.501490e-05 1.202746e-03 7.462932e+05 1.079938e+00 1.029732e+09 3.531407e+07 1.000000e+00
5.600000e+03 1.038793e-05 2.085911e-03 5.615671e+05 1.078583e+00 1.028541e+09 3.581209e+07 1.000000e+00
5.700000e+03 1.785049e-05 2.572028e-03 7.607208e+05 1.077411e+00 1.009796e+09 3.572681e+07 1.000000e+00
5.800000e+03 1.681544e-05 1.497296e-03 7.639098e+05 1.075939e+00 9.740577e+08 3.469116e+07 1.000000e+00
5.900000e+03 1.363026e-05 3.019184e-03 7.738269e+05 1.074548e+00 9.892764e+08 3.457637e+07 1.000000e+00
6.000000e+03 1.338555e-05 2.503101e-03 8.083111e+05 1.073680e+00 9.572973e+08 3.415547e+07 1.000000e+00
6.100000e+03 1.541731e-05 1.519928e-03 1.160320e+06 1.072220e+00 9.855203e+08 3.510203e+07 1.000000e+00
6.200000e+03 1.615098e-05 1.879967e-03 8.069246e+05 1.070609e+00 9.450305e+08 3.330500e+07 1.000000e+00
6.300000e+03 1.620326e-05 2.646895e-03 6.925689e+05 1.070086e+00 9.584987e+08 3.510106e+07 1.000000e+00
6.400000e+03 1.688531e-05 1.555391e-03 5.943004e+05 1.068034e+00 9.275567e+08 3.322814e+07 1.000000e+00
6.500000e+03 2.046004e-05 3.236609e-03 6.807838e+05 1.067140e+00 9.349685e+08 3.354292e+07 1.000000e+00
6.600000e+03 1.343354e-05 1.566162e-03 7.350564e+05 1.066387e+00 9.589617e+08 3.440424e+07 1.000000e+00
6.700000e+03 1.570236e-05 3.068820e-03 5.934381e+05 1.065342e+00 9.256430e+08 3.437160e+07 1.000000e+00
6.800000e+03 1.486562e-05 2.444895e-03 6.479896e+05 1.064842e+00 9.140573e+08 3.274618e+07 1.000000e+00
