method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,2322,9.35,4.469034e-02,1.676513e-01,0.94
SVSNN_orig,2322,14.39,2.751130e-02,8.411232e-02,1.44
SPINN,91136,13.96,5.359494e-01,5.359494e-01,1.40
SIREN,82689,22.87,8.762461e-01,8.762461e-01,2.29
FourierPINN,66177,12.77,3.303799e-01,3.306703e-01,1.28
PINN,50049,14.12,1.000079e+00,1.078919e+00,1.41
