# iter	time	total_loss	pde_loss	bc_loss	mse	rl2
0.00000000e+00	1.82238457e+01	5.50654564e+01	5.01578522e+01	4.90760565e-01	1.98477224e-01	1.97025490e+00
5.00000000e+02	1.90415111e+01	2.57960670e-02	1.10224886e-02	1.47735793e-03	3.78088057e-02	8.73431742e-01
1.00000000e+03	1.98751273e+01	6.73674345e-02	8.19033943e-03	5.91770932e-03	4.34294082e-02	8.79613996e-01
1.50000000e+03	2.06699080e+01	1.37079358e-02	7.82393944e-03	5.88399649e-04	4.47437763e-02	9.09350574e-01
2.00000000e+03	2.15075159e+01	2.51083858e-02	6.73297141e-03	1.83754147e-03	4.35172282e-02	8.97056937e-01
2.50000000e+03	2.23465726e+01	1.36154637e-01	5.50764427e-03	1.30646983e-02	4.29445468e-02	9.03075695e-01
3.00000000e+03	2.31661558e+01	1.22787552e-02	3.55172181e-03	8.72703386e-04	4.18477841e-02	9.11881387e-01
3.50000000e+03	2.40232923e+01	1.12757534e-02	6.52997568e-03	4.74577828e-04	4.27542776e-02	9.09982562e-01
4.00000000e+03	2.48388155e+01	2.05530208e-02	3.34683503e-03	1.72061857e-03	4.03813198e-02	8.81881595e-01
4.50000000e+03	2.56314938e+01	1.90365203e-02	2.79430673e-03	1.62422133e-03	4.13003676e-02	9.14063513e-01
5.00000000e+03	2.64446042e+01	1.71916448e-02	1.24080097e-02	4.78363596e-04	4.03053686e-02	9.07947719e-01
5.50000000e+03	2.72729676e+01	8.37373920e-03	4.69694054e-03	3.67679924e-04	4.19063494e-02	9.10203755e-01
6.00000000e+03	2.81173394e+01	8.62834882e-03	2.72040139e-03	5.90794720e-04	4.08647619e-02	8.87827158e-01
6.50000000e+03	2.89690552e+01	6.09442219e-02	5.25268167e-03	5.56915393e-03	4.14135568e-02	8.64114821e-01
7.00000000e+03	2.97826598e+01	4.44369251e-03	2.66358349e-03	1.78010887e-04	4.06458601e-02	8.91603291e-01
7.50000000e+03	3.06113503e+01	1.72196999e-02	7.60824140e-03	9.61145910e-04	3.92999761e-02	8.71519029e-01
8.00000000e+03	3.14281428e+01	1.23715177e-02	1.93745596e-03	1.04340608e-03	4.09880988e-02	8.87722790e-01
8.50000000e+03	3.22457242e+01	9.56610218e-03	2.44110660e-03	7.12499605e-04	4.09507677e-02	8.83682132e-01
9.00000000e+03	3.30383015e+01	5.92151377e-03	2.21958919e-03	3.70192487e-04	4.06623185e-02	8.67580652e-01
9.50000000e+03	3.38440106e+01	1.42435301e-02	1.65115402e-03	1.25923764e-03	4.13345322e-02	8.80367577e-01
1.00000000e+04	3.47120359e+01	2.03412864e-02	3.40992468e-03	1.69313618e-03	3.94727029e-02	8.83649826e-01
1.05000000e+04	3.55188842e+01	4.30179527e-03	2.77623348e-03	1.52556182e-04	4.12683748e-02	9.02624786e-01
1.10000000e+04	3.63535452e+01	8.49530101e-03	1.45678851e-03	7.03851285e-04	3.98102812e-02	8.77754092e-01
