# iter	time	total_loss	pde_loss	bc_loss	mse	rl2
1.80000000e+04	5.22219398e+01	9.91361216e-03	2.09613820e-03	7.81747396e-04	1.86565090e-02	5.76581180e-01
1.85000000e+04	5.31254880e+01	9.26180650e-03	2.55083782e-03	6.71096903e-04	1.57855190e-02	5.53022206e-01
1.90000000e+04	5.40125997e+01	3.83472256e-03	1.99120608e-03	1.84351637e-04	1.36598088e-02	5.13000131e-01
1.95000000e+04	5.48953443e+01	5.97983692e-03	1.26419240e-03	4.71564417e-04	1.34752719e-02	5.05258381e-01
2.00000000e+04	5.58122261e+01	4.02034633e-02	3.90391499e-02	1.16431402e-04	1.14525454e-02	4.66862619e-01
2.05000000e+04	5.67195654e+01	3.91090615e-03	3.34363501e-03	5.67270945e-05	1.13788042e-02	4.75332737e-01
2.10000000e+04	5.76411769e+01	9.93102323e-03	8.67404602e-03	1.25697683e-04	9.95423924e-03	4.43383634e-01
2.15000000e+04	5.85491250e+01	1.52206477e-02	1.14210416e-02	3.79960635e-04	9.50604677e-03	4.28701997e-01
2.20000000e+04	5.94636524e+01	1.74461049e-03	9.86070139e-04	7.58540336e-05	1.01868557e-02	4.39662665e-01
2.25000000e+04	6.03454652e+01	3.44554242e-03	1.03546225e-03	2.41008034e-04	8.38715956e-03	4.11625415e-01
2.30000000e+04	6.12519476e+01	1.35552529e-02	1.77890074e-03	1.17763528e-03	7.98252597e-03	3.90858650e-01
2.35000000e+04	6.21563807e+01	1.30213890e-02	1.10918554e-02	1.92953361e-04	1.01906722e-02	4.39409465e-01
2.40000000e+04	6.30508273e+01	4.21550311e-03	3.28408042e-03	9.31422692e-05	9.88258421e-03	4.31711286e-01
2.45000000e+04	6.39405043e+01	7.07893167e-03	3.81827308e-03	3.26065841e-04	8.30369443e-03	3.86022240e-01
2.50000000e+04	6.48522007e+01	9.39693674e-03	2.52064387e-03	6.87629275e-04	5.96347731e-03	3.42750520e-01
2.55000000e+04	6.57515063e+01	6.77429233e-03	4.06576926e-03	2.70852295e-04	7.56825600e-03	3.78506005e-01
2.60000000e+04	6.66890688e+01	2.61370698e-03	1.84272463e-03	7.70982297e-05	7.13313790e-03	3.67004693e-01
2.65000000e+04	6.75878801e+01	6.78718090e-03	2.03002151e-03	4.75715933e-04	5.96502237e-03	3.38622898e-01
2.70000000e+04	6.84599712e+01	4.65877075e-03	3.46521754e-03	1.19355303e-04	6.19318988e-03	3.48663092e-01
2.75000000e+04	6.93477685e+01	5.69944456e-03	3.69872758e-03	2.00071692e-04	7.20524555e-03	3.73722881e-01
2.80000000e+04	7.02158267e+01	4.19913139e-03	3.47777107e-03	7.21360120e-05	9.75520723e-03	4.26070064e-01
2.85000000e+04	7.11220233e+01	3.47649679e-02	3.06609441e-02	4.10402252e-04	5.93780447e-03	3.45860660e-01
2.90000000e+04	7.20072727e+01	7.71042518e-03	3.48244049e-03	4.22798446e-04	8.75567831e-03	4.06929970e-01
2.95000000e+04	7.28637056e+01	8.42946954e-03	2.80908891e-03	5.62038040e-04	6.08642399e-03	3.43202263e-01
3.00000000e+04	7.38127871e+01	3.64069059e-03	1.94002455e-03	1.70066603e-04	5.06903417e-03	3.17827046e-01
3.05000000e+04	7.47151752e+01	2.28498317e-03	1.77259126e-03	5.12391816e-05	4.05778224e-03	2.72361457e-01
3.10000000e+04	7.56216083e+01	1.97289838e-03	1.12172845e-03	8.51169971e-05	2.86691007e-03	2.39575982e-01
3.15000000e+04	7.65506141e+01	1.42035936e-03	1.08033512e-03	3.40024308e-05	2.61922786e-03	2.19600767e-01
3.20000000e+04	7.74422913e+01	1.53857714e-03	1.33757852e-03	2.00998584e-05	1.57241314e-03	1.79978669e-01
3.25000000e+04	7.83390901e+01	1.60198961e-03	1.12889672e-03	4.73092878e-05	1.57076411e-03	1.70509815e-01
3.30000000e+04	7.92436793e+01	1.55568193e-03	9.08467628e-04	6.47214256e-05	1.05448801e-03	1.41839057e-01
3.35000000e+04	8.01336212e+01	3.82918864e-03	9.18054546e-04	2.91113422e-04	9.25965840e-04	1.29198119e-01
3.40000000e+04	8.10582108e+01	3.15566966e-03	6.76005904e-04	2.47966382e-04	5.76308172e-04	1.04291797e-01
3.45000000e+04	8.19580781e+01	9.48401517e-04	5.29244426e-04	4.19157113e-05	6.07421855e-04	1.09439619e-01
3.50000000e+04	8.28789108e+01	6.26533478e-03	3.91507987e-03	2.35025494e-04	8.04835348e-04	1.17799617e-01
3.55000000e+04	8.37896607e+01	9.77953780e-04	6.49903726e-04	3.28050082e-05	4.22768906e-04	8.68710726e-02
3.60000000e+04	8.46615472e+01	1.05414016e-03	4.72489948e-04	5.81650165e-05	2.71777913e-04	6.97554275e-02
3.65000000e+04	8.55738738e+01	4.25352342e-03	5.18352957e-04	3.73517047e-04	2.50187528e-04	6.87082708e-02
3.70000000e+04	8.64837835e+01	1.27704185e-03	9.53200564e-04	3.23841305e-05	1.57557079e-04	5.65542132e-02
3.75000000e+04	8.73805711e+01	1.26129179e-03	5.10837534e-04	7.50454201e-05	1.35829250e-04	5.07723242e-02
3.80000000e+04	8.82897222e+01	8.94261117e-04	6.09362847e-04	2.84898269e-05	2.30842226e-04	6.59496561e-02
3.85000000e+04	8.91933761e+01	8.24603718e-04	6.12318981e-04	2.12284758e-05	1.62601413e-04	5.60992435e-02
3.90000000e+04	9.00895751e+01	9.83073958e-04	6.63461571e-04	3.19612409e-05	1.81099153e-04	5.91085553e-02
3.95000000e+04	9.10018463e+01	1.81161088e-03	8.19268287e-04	9.92342539e-05	1.45985832e-04	5.25586717e-02
4.00000000e+04	9.18954890e+01	6.26366760e-04	4.33563371e-04	1.92803400e-05	1.71796797e-04	5.63987941e-02
4.05000000e+04	9.27875664e+01	1.12945319e-03	4.06638865e-04	7.22814293e-05	7.49228930e-05	4.00446542e-02
4.10000000e+04	9.36580842e+01	5.25374315e-04	3.89883935e-04	1.35490409e-05	7.60432231e-05	3.78979221e-02
4.15000000e+04	9.45416887e+01	8.16512969e-04	4.28623112e-04	3.87889886e-05	6.26250185e-05	3.45675573e-02
4.20000000e+04	9.54197962e+01	5.55711333e-04	3.58036923e-04	1.97674435e-05	5.88570329e-05	3.38816158e-02
4.25000000e+04	9.63046725e+01	8.28316552e-04	3.86577623e-04	4.41738957e-05	9.72416892e-05	4.34703790e-02
4.30000000e+04	9.72120368e+01	1.64212077e-03	3.13945842e-04	1.32817499e-04	5.32837221e-05	3.03927958e-02
4.35000000e+04	9.81008341e+01	1.40116643e-03	2.69836775e-04	1.13132963e-04	5.49366378e-05	3.26354653e-02
4.40000000e+04	9.89671671e+01	4.52310371e-04	3.33806238e-04	1.18504131e-05	5.22187693e-05	3.19520533e-02
4.45000000e+04	9.98787262e+01	5.65672992e-04	2.83996196e-04	2.81676821e-05	7.27702718e-05	3.65612879e-02
4.50000000e+04	1.00775179e+02	1.60727510e-03	2.56688742e-04	1.35058639e-04	5.55449733e-05	3.22284587e-02
4.55000000e+04	1.01660309e+02	3.92244692e-04	3.18172097e-04	7.40726045e-06	4.34366266e-05	2.78482698e-02
4.60000000e+04	1.02544512e+02	4.41853597e-04	2.70496850e-04	1.71356733e-05	4.68917569e-05	2.89999284e-02
4.65000000e+04	1.03413302e+02	3.91655660e-04	2.71109631e-04	1.20546019e-05	4.06775980e-05	2.82946639e-02
4.70000000e+04	1.04267623e+02	3.78851575e-04	2.74727237e-04	1.04124338e-05	3.93355804e-05	2.75083426e-02
4.75000000e+04	1.05211983e+02	4.47343569e-04	3.54019110e-04	9.33244428e-06	4.74490735e-05	3.02541591e-02
4.80000000e+04	1.06139040e+02	6.58727251e-04	2.43852701e-04	4.14874594e-05	4.74672634e-05	2.94948537e-02
4.85000000e+04	1.07031491e+02	3.97715135e-04	2.31058802e-04	1.66656318e-05	5.11423714e-05	3.22723985e-02
4.90000000e+04	1.07944268e+02	5.48641954e-04	2.62013054e-04	2.86628892e-05	4.99980051e-05	3.05993501e-02
4.95000000e+04	1.08845252e+02	3.44458967e-04	2.28164485e-04	1.16294486e-05	5.04897871e-05	3.14493552e-02
5.00000000e+04	1.10016889e+02	1.20172673e-03	2.49563018e-04	9.52163682e-05	5.46186966e-05	3.07047255e-02
