# iteration  lambda_u  lambda_ut  lambda_r
9.900000e+03 5.788398e+03 3.034783e+01 1.034259e+00
1.000000e+04 6.418402e+03 3.150033e+01 1.032953e+00
1.010000e+04 5.841426e+03 2.982733e+01 1.034873e+00
1.020000e+04 6.765777e+03 3.402051e+01 1.030441e+00
1.030000e+04 6.409440e+03 3.157191e+01 1.032876e+00
1.040000e+04 6.114242e+03 2.990154e+01 1.034775e+00
1.050000e+04 6.356039e+03 3.274614e+01 1.031667e+00
1.060000e+04 6.310143e+03 3.329387e+01 1.031134e+00
1.070000e+04 6.433277e+03 3.284167e+01 1.031571e+00
1.080000e+04 6.581809e+03 3.278460e+01 1.031623e+00
1.090000e+04 6.413663e+03 3.111517e+01 1.033372e+00
1.100000e+04 6.407687e+03 3.320802e+01 1.031214e+00
1.110000e+04 6.242408e+03 3.434855e+01 1.030156e+00
1.120000e+04 5.761501e+03 3.038710e+01 1.034214e+00
1.130000e+04 6.080204e+03 3.091079e+01 1.033608e+00
1.140000e+04 6.387384e+03 3.163718e+01 1.032807e+00
1.150000e+04 6.326470e+03 3.055259e+01 1.034007e+00
1.160000e+04 5.926658e+03 2.923983e+01 1.035592e+00
1.170000e+04 6.415408e+03 3.200470e+01 1.032419e+00
1.180000e+04 6.126338e+03 3.122851e+01 1.033256e+00
1.190000e+04 6.128900e+03 3.254624e+01 1.031873e+00
1.200000e+04 6.093006e+03 2.889598e+01 1.036024e+00
1.210000e+04 6.166909e+03 3.079613e+01 1.033735e+00
1.220000e+04 6.383319e+03 3.087067e+01 1.033645e+00
1.230000e+04 6.277377e+03 3.188482e+01 1.032548e+00
1.240000e+04 5.917800e+03 2.927833e+01 1.035544e+00
1.250000e+04 5.903922e+03 2.929074e+01 1.035529e+00
1.260000e+04 6.226378e+03 3.167354e+01 1.032773e+00
1.270000e+04 6.132791e+03 2.866242e+01 1.036325e+00
1.280000e+04 6.247329e+03 3.137941e+01 1.033088e+00
1.290000e+04 6.253955e+03 3.169907e+01 1.032745e+00
1.300000e+04 5.957734e+03 3.055145e+01 1.034019e+00
1.310000e+04 5.941622e+03 3.078336e+01 1.033756e+00
1.320000e+04 6.300138e+03 3.174638e+01 1.032694e+00
1.330000e+04 6.192620e+03 3.270226e+01 1.031715e+00
1.340000e+04 6.119050e+03 3.114803e+01 1.033344e+00
1.350000e+04 6.294810e+03 3.476837e+01 1.029782e+00
1.360000e+04 5.944527e+03 3.001481e+01 1.034645e+00
1.370000e+04 6.066788e+03 3.056511e+01 1.034000e+00
1.380000e+04 6.107568e+03 3.015970e+01 1.034469e+00
