case,method,budget,n_seeds,target_params,matched_within_tol,total_params_mean,total_params_std,best_l2_mean,best_l2_std,final_l2_mean,final_l2_std,wall_clock_train_sec_mean,wall_clock_train_sec_std,ms_per_100_epoch_mean,ms_per_100_epoch_std,peak_gpu_mem_mb_mean,peak_gpu_mem_mb_std,inference_time_ms_mean,inference_time_ms_std,n_collocation_mean,n_collocation_std,best_l2_min
case4,SPINN,matched,3,1612,True,3308.0,0.0,0.38796281682037254,0.2573843707033785,0.38953591058166964,0.2575138582016554,24.252267360687256,0.2736903604245307,242.52267360687256,2.7369036042453048,100.83968,0.0,nan,nan,10000.0,0.0,0.06784276758236293
case4,SPINN,rich,3,,,82816.0,0.0,1.1644481948041567,0.09340278927930441,1.2731726834577848,0.17624714818918152,32.32336322466532,0.21345816504938842,323.23363224665326,2.1345816504938844,139.824896,0.0,nan,nan,10000.0,0.0,1.0430376056272457
case4,SVSNN,best,3,,,1612.0,0.0,0.0031784668226278543,0.0011861873052138902,0.0033071203593806366,0.001106926919717928,19.55068349838257,0.30787930755858056,195.50683498382568,3.0787930755858057,88.29824,0.0,nan,nan,10000.0,0.0,0.0018465350603308207
case5,FourierPINN,matched,3,2322,True,2337.0,0.0,0.8347225447041443,0.1542853146063416,1.7537943481363614,0.804679589221591,6.330886602401733,0.2976964401068468,63.321530330083355,2.9775599130510795,261.97376,0.0,2.1566947301228843,0.8422010649466394,10000.0,0.0,0.6205232817586765
case5,FourierPINN,rich,3,,,66177.0,0.0,0.35522242080786226,0.07916248136575987,0.35718165526249795,0.07773204535845867,17.12265419960022,0.034361372490500516,171.26079415483318,0.3436824613972884,324.999424,0.0,3.073390324910482,0.11166371306520718,10000.0,0.0,0.29307464893800167
case5,PINN,matched,3,2322,True,2377.0,0.0,0.9854954013993765,0.010752865060311203,1.0164473668754967,0.02182021415405954,6.53647796312968,0.05016669327878848,65.37785520233727,0.5017672862451262,151.854592,0.0,0.8370796839396158,0.010536273042072905,10000.0,0.0,0.9749701211052548
case5,PINN,rich,3,,,50049.0,0.0,0.9921788146723394,0.011031171271215579,1.0059363530815664,0.01813077949240463,19.158677101135254,0.09054322680285808,191.62509603055867,0.9056133907067208,271.019264,0.0,1.3375441233317058,0.08735222128343725,10000.0,0.0,0.9765820925337354
case5,SIREN,matched,3,2322,True,2409.0,0.0,0.22931895266027835,0.08723869732460472,0.30262934452822704,0.13385112758254367,8.099812269210815,0.04595481628408384,81.01432555721959,0.45964009085901275,288.79744,0.0,1.7745256423950195,0.3420615231596444,10000.0,0.0,0.10708221243947222
case5,SIREN,rich,3,,,82689.0,0.0,0.8494641364908503,0.030162155679949343,0.8494641364908503,0.030162155679949343,25.790180762608845,0.08386447792210848,257.9533983057496,0.8388125417294202,324.936192,0.0,2.9994567235310874,0.17956036365569322,10000.0,0.0,0.8232389757928427
case5,SPINN,matched,3,2322,True,2316.0,0.0,0.03502831594694316,0.00359582367029755,0.03502831594694316,0.00359582367029755,9.662538131078085,0.4292408207989688,96.64471025283139,4.293266861361962,84.658176,0.0,2.006689707438151,0.3550428554275843,10000.0,0.0,0.0320027600360877
case5,SPINN,rich,3,,,91136.0,0.0,0.4861213030096569,0.029694261949640408,0.4861213030096569,0.029694261949640408,18.192737181981403,0.5043847299415907,181.96376457272856,5.044856270670054,140.488192,0.0,3.6868969599405923,0.5499303023029318,10000.0,0.0,0.4502734217320746
case5,SVSNN,best,3,,,2322.0,0.0,0.011464428393927402,0.004332052787687281,0.012934095881838305,0.0062825069878019,11.314778010050455,0.4703357250095571,113.17041418334122,4.704298109717505,118.783232,0.020636204302145397,13.44141960144043,1.5822946427041,10000.0,0.0,0.006664528586390781
