method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,1612,25.05,0.0039165026803263045,0.0039165026803263045,2.51
SVSNN_orig,1612,36.34,0.0028257194641763614,0.0028257194641763614,3.63
SPINN,82816,41.65,1.5991272265407948,1.5991272265407948,4.17
SIREN,82689,35.45,0.24140740007651804,0.24193620100391816,3.55
FourierPINN,66177,18.63,0.31843045578404117,0.35217902037999566,1.86
PINN,50049,17.42,1.0107582565844748,1.2923599915449069,1.74
