case,strategy,level,scale,n_seeds,best_l2_mean,best_l2_std,best_l2_min
case5,S2_two,2-level,1.5,3,0.09608619083997358,0.02830802614465055,0.06711866417272395
case5,S1_single,1-level,0.6,3,1.0003319431999718,1.4561288989273756e-05,1.0003114435222773
case5,S1_single,1-level,1.0,3,0.9999831516666411,2.8296997681204957e-06,0.9999791581754376
case5,S1_single,1-level,1.5,3,1.0000000333489205,4.9130361774306854e-08,0.9999999695558681
case6,default,3-level (multi),0.6,3,0.9958843372658829,0.002052757878750773,0.9940291062290264
case6,default,3-level (multi),1.0,3,0.00907870668731036,0.004383017897665254,0.002922807932232778
case6,default,3-level (multi),1.5,3,0.026960257382062737,0.011459171753838196,0.015049709355431965
case6,S2_two,2-level,0.6,3,1.0002493820711669,7.242990324221694e-05,1.000183735821631
case6,S2_two,2-level,1.0,3,0.08743264078460669,0.02404176830550515,0.05534275139323167
case6,S2_two,2-level,1.5,3,0.24175530781864304,0.07596990143579554,0.13485842132769443
case6,S1_single,1-level,0.6,3,1.0000107375835534,4.228143031188964e-07,1.0000103599031023
case6,S1_single,1-level,1.0,3,0.001552511641036296,0.0005086733166865501,0.0011875969302702414
case6,S1_single,1-level,1.5,3,1.0000000016130361,1.1756758755184102e-09,1.0000000000002462
case7,default,3-level (multi),0.6,3,0.035084312211083525,0.00618712377371913,0.026344028968539823
case7,default,3-level (multi),1.0,3,0.030155347933013495,0.003458523689770893,0.025382043435282796
case7,default,3-level (multi),1.5,3,0.06563920595035454,0.011608340559337684,0.05086376179551615
case7,S2_two,2-level,0.6,3,1.1069173792411262,0.03508602560938352,1.0792153088640162
case7,S2_two,2-level,1.0,3,0.014245085613181852,0.001764971481992063,0.012212186455912002
case7,S2_two,2-level,1.5,3,0.05508548687491469,0.005627459221951289,0.048558413102973
case7,S1_single,1-level,0.6,3,1.0001796155187437,0.00010020464694708891,1.0000649842960248
case7,S1_single,1-level,1.0,3,0.00016091574988368108,5.961836238596799e-06,0.0001547636428719865
case7,S1_single,1-level,1.5,3,0.9998838727136244,4.48845323436637e-06,0.9998786273865092
case8,default,3-level (multi),0.6,3,0.009116134668345141,0.008040621326531446,0.00126560469610851
case8,default,3-level (multi),1.0,3,0.009604673123698275,0.008665603131145382,0.0013496064599291082
case8,default,3-level (multi),1.5,3,0.008696124924851365,0.007400792492182234,0.0013468383034929653
case8,S2_two,2-level,0.6,3,0.008567895239043503,0.007157813527280212,0.0013189160221074485
case8,S2_two,2-level,1.0,3,0.009860689437877275,0.009054494653188989,0.0011420756482626807
case8,S2_two,2-level,1.5,3,0.00993896116162231,0.00925077961235411,0.0011913278737044903
case8,S1_single,1-level,0.6,3,0.009526592964408208,0.008463688230252057,0.0011684247023803606
case8,S1_single,1-level,1.0,3,0.009240158349118394,0.008168205539558883,0.001286667233362395
case8,S1_single,1-level,1.5,3,0.009541321493788443,0.008206441624806684,0.0012446508712131994
case9,default,3-level (multi),0.6,3,0.00035272132663521916,2.6926503681457856e-05,0.0003175088349962607
case9,default,3-level (multi),1.0,3,0.0003399946144782007,2.203287584726323e-05,0.0003093715786235407
case9,default,3-level (multi),1.5,3,0.0003422309091547504,2.334931543366074e-05,0.0003093717969022691
case9,S2_two,2-level,0.6,3,0.00034186816386257607,1.7491412221086922e-05,0.0003175086312694475
case9,S2_two,2-level,1.0,3,0.0003391558808895449,2.127915295086394e-05,0.0003093717823503539
case9,S2_two,2-level,1.5,3,0.0003418677273051192,1.7491201241862827e-05,0.0003175086312694475
case9,S1_single,1-level,0.6,3,0.00034186779521405697,1.7491106668587187e-05,0.0003175088349962607
case9,S1_single,1-level,1.0,3,0.00034858314029406756,3.381312272206428e-05,0.0003025773330591619
case9,S1_single,1-level,1.5,3,0.00033999435254372656,2.2032982074464613e-05,0.0003093711275141686
