method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,1944,12.79,2.731149e-02,2.731149e-02,1.28
SVSNN_orig,1944,15.68,3.844442e-02,3.844442e-02,1.57
SPINN,91136,13.56,7.215493e-01,7.215493e-01,1.36
SIREN,82689,45.75,1.742284e-01,1.742284e-01,4.58
FourierPINN,66177,29.40,1.237567e-01,1.253456e-01,2.94
PINN,50049,31.31,4.064120e+00,4.064120e+00,3.13
