# epoch	total_loss	mse_cont	mse_mom_x	mse_mom_y	mse_bc	l2_u	l2_v	l2_p
4.90000000e+03	1.81746650e-02	1.05765779e-02	2.04466539e-03	7.13265734e-04	4.84015560e-03	8.80196750e-01	7.83047974e-01	1.00781143e+00
5.00000000e+03	1.78908315e-02	1.04676951e-02	2.15573143e-03	6.45833439e-04	4.62157140e-03	8.69143307e-01	7.80084312e-01	1.00631845e+00
5.10000000e+03	1.70854125e-02	9.50769801e-03	2.06342223e-03	6.65219559e-04	4.84907301e-03	8.86239350e-01	7.84210861e-01	1.00744236e+00
5.20000000e+03	1.77669171e-02	9.84138623e-03	2.06517358e-03	7.23305100e-04	5.13705192e-03	8.86856794e-01	7.78850496e-01	1.00769484e+00
5.30000000e+03	1.85252596e-02	1.09952865e-02	2.14658258e-03	6.66399370e-04	4.71699098e-03	8.69999230e-01	7.82376289e-01	1.00765121e+00
5.40000000e+03	1.76898446e-02	1.01846345e-02	2.04061437e-03	6.43197331e-04	4.82139830e-03	8.74283671e-01	7.80854821e-01	1.00606263e+00
5.50000000e+03	1.72199234e-02	9.63272061e-03	2.05014204e-03	6.27969217e-04	4.90909209e-03	8.72287393e-01	7.78810322e-01	1.00546408e+00
5.60000000e+03	1.72069892e-02	9.70088784e-03	2.08271435e-03	6.31948875e-04	4.79143811e-03	8.83007169e-01	7.82422662e-01	1.00475407e+00
5.70000000e+03	1.69348568e-02	9.11964383e-03	1.99764175e-03	6.66347565e-04	5.15122432e-03	8.85637999e-01	7.79965162e-01	1.00793660e+00
5.80000000e+03	1.76554807e-02	9.77842789e-03	2.10727495e-03	6.97540527e-04	5.07223699e-03	8.87563944e-01	7.83093035e-01	1.00533056e+00
5.90000000e+03	1.74913984e-02	1.02458550e-02	2.04952597e-03	6.74019626e-04	4.52199718e-03	8.66996109e-01	7.81498253e-01	1.00554717e+00
6.00000000e+03	1.78862140e-02	9.56449751e-03	2.02604244e-03	6.79297606e-04	5.61637664e-03	8.81633878e-01	7.80090213e-01	1.00296652e+00
6.10000000e+03	1.73520930e-02	9.82286688e-03	2.07539252e-03	6.77739037e-04	4.77609411e-03	8.80719304e-01	7.80379713e-01	1.00596547e+00
6.20000000e+03	1.73511058e-02	9.63321049e-03	2.03621457e-03	6.73628005e-04	5.00805350e-03	8.77765656e-01	7.78371036e-01	1.00881374e+00
6.30000000e+03	1.68936197e-02	9.76399146e-03	1.96181168e-03	6.41748775e-04	4.52606706e-03	8.75911593e-01	7.80672252e-01	1.00450909e+00
6.40000000e+03	1.78866610e-02	1.05625484e-02	2.09344621e-03	6.69514819e-04	4.56115231e-03	8.78052950e-01	7.82620788e-01	1.00484765e+00
6.50000000e+03	1.78409852e-02	9.43010394e-03	2.05174438e-03	7.16667564e-04	5.64246904e-03	8.94918978e-01	7.79478371e-01	1.00674152e+00
6.60000000e+03	1.69800781e-02	9.76211578e-03	1.97638152e-03	6.51378592e-04	4.59020212e-03	8.78748477e-01	7.83139229e-01	1.00570095e+00
6.70000000e+03	1.69803221e-02	9.82305408e-03	2.05742638e-03	5.91053395e-04	4.50878730e-03	8.74686241e-01	7.82817900e-01	1.00591719e+00
6.80000000e+03	1.81443058e-02	1.02827931e-02	2.11525103e-03	6.91653404e-04	5.05460706e-03	8.84499788e-01	7.84569860e-01	1.00680399e+00
6.90000000e+03	1.75152998e-02	1.03947921e-02	2.08283542e-03	6.54470234e-04	4.38320264e-03	8.71555567e-01	7.80284703e-01	1.00494051e+00
7.00000000e+03	1.77101307e-02	1.04767289e-02	2.01985403e-03	6.60356716e-04	4.55319043e-03	8.71739626e-01	7.82189786e-01	1.00545585e+00
7.10000000e+03	1.63914710e-02	8.90546106e-03	1.90326630e-03	6.40258833e-04	4.94248467e-03	8.90452564e-01	7.76613832e-01	1.00811136e+00
7.20000000e+03	1.72654986e-02	1.01141566e-02	1.95652642e-03	5.82889188e-04	4.61192522e-03	8.70967686e-01	7.84352541e-01	1.00457895e+00
7.30000000e+03	1.67606026e-02	9.22946446e-03	1.94976002e-03	6.50812057e-04	4.93056560e-03	8.90343428e-01	7.77741373e-01	1.00498807e+00
7.40000000e+03	1.69547424e-02	9.80426092e-03	1.92110264e-03	6.13020908e-04	4.61635692e-03	8.74111056e-01	7.80223012e-01	1.00634801e+00
7.50000000e+03	1.70392506e-02	9.49115958e-03	1.94918260e-03	6.57585624e-04	4.94132191e-03	8.80715966e-01	7.78510749e-01	1.00509965e+00
7.60000000e+03	1.66385323e-02	9.37685091e-03	1.98300625e-03	5.86660346e-04	4.69201338e-03	8.79589915e-01	7.79696465e-01	1.00325942e+00
7.70000000e+03	1.75071172e-02	1.03328060e-02	2.00845976e-03	6.04062108e-04	4.56178887e-03	8.65495920e-01	7.78872550e-01	1.00428164e+00
7.80000000e+03	1.70025602e-02	9.54937935e-03	1.93024916e-03	6.49108202e-04	4.87382337e-03	8.73956203e-01	7.74162471e-01	1.00496376e+00
7.90000000e+03	1.71860829e-02	9.51137859e-03	1.91519526e-03	6.10529212e-04	5.14898030e-03	8.80048990e-01	7.76750624e-01	1.00410032e+00
8.00000000e+03	1.71942338e-02	9.79768950e-03	2.05726991e-03	6.45674474e-04	4.69359942e-03	8.80955756e-01	7.75307178e-01	1.00101840e+00
8.10000000e+03	1.70402210e-02	9.77733452e-03	2.01967778e-03	6.45825057e-04	4.59738402e-03	8.77257109e-01	7.74502397e-01	1.00113499e+00
8.20000000e+03	1.67474765e-02	9.67501942e-03	1.90552045e-03	6.26528810e-04	4.54040850e-03	8.80277216e-01	7.74220586e-01	9.98625696e-01
8.30000000e+03	1.65438727e-02	9.10972618e-03	1.87200692e-03	6.26791443e-04	4.93534748e-03	8.77106547e-01	7.68979549e-01	1.00356805e+00
8.40000000e+03	1.68472379e-02	9.87044722e-03	1.91347976e-03	5.85927046e-04	4.47738357e-03	8.80381286e-01	7.73456872e-01	1.00195813e+00
8.50000000e+03	1.59427039e-02	8.89538415e-03	1.85319991e-03	5.72474441e-04	4.62164544e-03	8.79132330e-01	7.69138515e-01	1.00181758e+00
8.60000000e+03	1.65467449e-02	9.94765572e-03	1.74209208e-03	6.03356399e-04	4.25364031e-03	8.69123876e-01	7.71019578e-01	9.98443127e-01
8.70000000e+03	1.67493243e-02	9.59652103e-03	1.81138166e-03	5.55460807e-04	4.78596054e-03	8.75052392e-01	7.69091785e-01	9.97853518e-01
8.80000000e+03	1.64253712e-02	9.38815158e-03	1.82303938e-03	5.92820172e-04	4.62136092e-03	8.83901179e-01	7.69192994e-01	9.99475837e-01
8.90000000e+03	1.67052969e-02	9.94804036e-03	1.89001311e-03	5.52399550e-04	4.31484357e-03	8.70559394e-01	7.68152654e-01	9.93643224e-01
9.00000000e+03	1.66941173e-02	9.80408117e-03	1.68883218e-03	5.93768491e-04	4.60743625e-03	8.72553229e-01	7.63296306e-01	9.96115863e-01
9.10000000e+03	1.63784139e-02	8.87172390e-03	1.71315914e-03	5.90536220e-04	5.20299515e-03	8.81503940e-01	7.59744704e-01	9.93458569e-01
9.20000000e+03	1.70068406e-02	1.02667101e-02	1.74226717e-03	5.72403485e-04	4.42546047e-03	8.68146002e-01	7.62212276e-01	9.93488133e-01
9.30000000e+03	1.62110701e-02	9.76447761e-03	1.74992997e-03	5.34201215e-04	4.16246057e-03	8.60434711e-01	7.55149722e-01	9.89739239e-01
9.40000000e+03	1.61488932e-02	9.86982603e-03	1.68003188e-03	4.78659524e-04	4.12037550e-03	8.58702898e-01	7.54540443e-01	9.86298382e-01
9.50000000e+03	1.55886356e-02	8.59058648e-03	1.55207876e-03	5.05334290e-04	4.94063692e-03	8.78300488e-01	7.44553328e-01	9.84154999e-01
9.60000000e+03	1.58427674e-02	9.39904153e-03	1.49458146e-03	5.16069704e-04	4.43307450e-03	8.59427929e-01	7.37414002e-01	9.80737567e-01
9.70000000e+03	1.56657770e-02	9.48188081e-03	1.37143070e-03	4.80002724e-04	4.33246279e-03	8.48114312e-01	7.34324157e-01	9.77022886e-01
9.80000000e+03	1.56449880e-02	9.62323043e-03	1.36409793e-03	4.86973644e-04	4.17068601e-03	8.48394275e-01	7.32103229e-01	9.72413301e-01
9.90000000e+03	1.52204372e-02	8.54415074e-03	1.21876132e-03	4.95832879e-04	4.96169226e-03	8.58192146e-01	7.20310211e-01	9.69303727e-01
1.00000000e+04	1.50476256e-02	9.25205834e-03	1.24403078e-03	4.98038251e-04	4.05349862e-03	8.50672007e-01	7.18731165e-01	9.61612582e-01
1.01000000e+04	1.54121146e-02	8.99723452e-03	1.12625654e-03	4.67452133e-04	4.82117152e-03	8.49409342e-01	7.16824174e-01	9.57168698e-01
1.02000000e+04	1.57725532e-02	9.66408662e-03	1.12324674e-03	4.95665648e-04	4.48955456e-03	8.35537076e-01	7.10331142e-01	9.52875316e-01
1.03000000e+04	1.52036054e-02	9.60469712e-03	1.02710631e-03	4.86300443e-04	4.08550166e-03	8.31972241e-01	7.01953769e-01	9.45405602e-01
1.04000000e+04	1.51281226e-02	9.10415221e-03	1.01771392e-03	4.73853055e-04	4.53240285e-03	8.37483644e-01	6.96712255e-01	9.40853596e-01
1.05000000e+04	1.46809332e-02	8.59538279e-03	9.39007907e-04	4.61936550e-04	4.68460610e-03	8.33784163e-01	6.93090141e-01	9.32307839e-01
1.06000000e+04	1.44515410e-02	8.66263825e-03	9.41940583e-04	4.16945695e-04	4.43001650e-03	8.16274941e-01	6.88355029e-01	9.25165594e-01
1.07000000e+04	1.44269932e-02	8.73615220e-03	8.83801316e-04	4.28431173e-04	4.37860889e-03	8.13385308e-01	6.77117407e-01	9.21169400e-01
1.08000000e+04	1.40878893e-02	8.49846005e-03	8.87592498e-04	4.11054614e-04	4.29078145e-03	8.04535210e-01	6.73782766e-01	9.10028994e-01
1.09000000e+04	1.38823204e-02	7.97142275e-03	7.89152400e-04	4.02164151e-04	4.71958145e-03	7.98518717e-01	6.66537762e-01	9.00921464e-01
1.10000000e+04	1.32120401e-02	7.77744828e-03	7.59055722e-04	3.93994851e-04	4.28154133e-03	7.94056952e-01	6.53201342e-01	8.95619392e-01
1.11000000e+04	1.31968725e-02	7.53785763e-03	7.85382756e-04	4.27136227e-04	4.44649672e-03	7.81465411e-01	6.46681607e-01	8.85058761e-01
1.12000000e+04	1.23641174e-02	7.13446876e-03	7.11346336e-04	4.16434079e-04	4.10186872e-03	7.76520550e-01	6.28494918e-01	8.73515725e-01
1.13000000e+04	1.20660178e-02	7.14284508e-03	7.95656641e-04	4.51423257e-04	3.67609365e-03	7.58460701e-01	6.19700253e-01	8.61019373e-01
1.14000000e+04	1.15813240e-02	7.07719335e-03	7.43150304e-04	4.76234040e-04	3.28474725e-03	7.33843744e-01	5.98002791e-01	8.47655237e-01
1.15000000e+04	1.07022468e-02	6.56862790e-03	6.80134632e-04	4.96442604e-04	2.95704184e-03	7.06513941e-01	5.81549883e-01	8.32997561e-01
1.16000000e+04	9.87987220e-03	5.77411614e-03	7.21552002e-04	5.15375112e-04	2.86882883e-03	7.03063786e-01	5.60218096e-01	8.13901484e-01
1.17000000e+04	9.44069959e-03	5.40363975e-03	7.82637449e-04	5.17236127e-04	2.73718685e-03	6.84811950e-01	5.31776130e-01	7.95924425e-01
1.18000000e+04	8.60524829e-03	4.61627729e-03	7.49406870e-04	5.13925566e-04	2.72563822e-03	6.69726372e-01	5.03488183e-01	7.74099112e-01
1.19000000e+04	7.97814503e-03	4.50954447e-03	7.16150156e-04	5.51483827e-04	2.20096624e-03	6.41662478e-01	4.80906427e-01	7.58969784e-01
1.20000000e+04	7.58798141e-03	4.12435224e-03	7.24421116e-04	5.51523175e-04	2.18768511e-03	6.20264947e-01	4.67138976e-01	7.40733683e-01
1.21000000e+04	7.07640033e-03	3.78654432e-03	7.26937025e-04	4.32096276e-04	2.13082274e-03	6.11826181e-01	4.37556326e-01	7.19874263e-01
1.22000000e+04	6.66958047e-03	3.92343197e-03	7.32063723e-04	4.32819535e-04	1.58126501e-03	5.82569599e-01	4.24220175e-01	7.01160491e-01
1.23000000e+04	6.05723821e-03	3.34152440e-03	7.65857578e-04	4.06709849e-04	1.54314656e-03	5.67552328e-01	4.05874372e-01	6.85694396e-01
1.24000000e+04	5.89624606e-03	3.00809625e-03	7.34403904e-04	4.38032701e-04	1.71571306e-03	5.54477751e-01	3.88067365e-01	6.66848540e-01
1.25000000e+04	5.59207611e-03	3.04397545e-03	7.44970283e-04	4.20735741e-04	1.38239458e-03	5.27392626e-01	3.70304853e-01	6.46581829e-01
1.26000000e+04	4.97070793e-03	2.64904206e-03	6.60924241e-04	3.41601408e-04	1.31914031e-03	5.08176804e-01	3.50747466e-01	6.26115918e-01
1.27000000e+04	4.77670645e-03	2.62237014e-03	6.99477387e-04	3.28631402e-04	1.12622755e-03	4.86027062e-01	3.42322290e-01	6.07901692e-01
1.28000000e+04	4.47805692e-03	2.28222297e-03	7.11748842e-04	3.25047411e-04	1.15903793e-03	4.69705224e-01	3.25745493e-01	5.87057650e-01
1.29000000e+04	4.16597491e-03	2.21995660e-03	6.40235492e-04	2.91732489e-04	1.01405033e-03	4.50861663e-01	3.16624492e-01	5.70217848e-01
1.30000000e+04	4.21104021e-03	2.18522386e-03	7.32398650e-04	3.13489902e-04	9.79927601e-04	4.26927626e-01	3.02753776e-01	5.50230324e-01
1.31000000e+04	3.71863972e-03	1.91061874e-03	6.82791579e-04	3.18185514e-04	8.07043805e-04	4.12274748e-01	2.83102810e-01	5.33179820e-01
1.32000000e+04	3.61727760e-03	1.82478118e-03	6.21921849e-04	2.91162869e-04	8.79411877e-04	3.95216018e-01	2.82232553e-01	5.14291167e-01
1.33000000e+04	3.36586637e-03	1.69541698e-03	6.48320944e-04	2.91332632e-04	7.30795669e-04	3.78199250e-01	2.64825523e-01	4.93320644e-01
1.34000000e+04	3.15947738e-03	1.51380303e-03	5.46298746e-04	2.58324435e-04	8.41051165e-04	3.75148147e-01	2.47323215e-01	4.79588240e-01
1.35000000e+04	3.03662429e-03	1.54671923e-03	6.11038879e-04	2.62778660e-04	6.16087520e-04	3.46876681e-01	2.41870403e-01	4.62723345e-01
1.36000000e+04	3.10555147e-03	1.25979492e-03	6.00586936e-04	2.78394728e-04	9.66774824e-04	3.42806131e-01	2.28641078e-01	4.48989093e-01
1.37000000e+04	2.68415455e-03	1.22040883e-03	5.46807772e-04	2.50984129e-04	6.65953790e-04	3.17885995e-01	2.20453680e-01	4.30554450e-01
1.38000000e+04	2.73258844e-03	1.25176914e-03	6.06822257e-04	2.54986953e-04	6.19010068e-04	3.05127323e-01	2.16316253e-01	4.18412775e-01
1.39000000e+04	3.15564405e-03	1.20316586e-03	5.91016375e-04	2.84203648e-04	1.07725803e-03	2.76562512e-01	2.09136412e-01	4.03700680e-01
1.40000000e+04	2.84123910e-03	9.86169209e-04	4.97356174e-04	2.76945531e-04	1.08076818e-03	2.84524947e-01	2.01096490e-01	3.93731475e-01
1.41000000e+04	2.14087334e-03	8.90531112e-04	4.74078261e-04	2.13014195e-04	5.63249749e-04	2.69205838e-01	1.88716754e-01	3.75005513e-01
1.42000000e+04	2.01256038e-03	8.37600091e-04	4.40014439e-04	2.11169041e-04	5.23776747e-04	2.59745270e-01	1.84787780e-01	3.62795532e-01
1.43000000e+04	1.94134202e-03	8.61929497e-04	4.40198230e-04	2.07249657e-04	4.31964669e-04	2.46793553e-01	1.73502237e-01	3.52718383e-01
1.44000000e+04	1.95250229e-03	8.98995670e-04	4.20978147e-04	2.19071881e-04	4.13456582e-04	2.35556096e-01	1.70502588e-01	3.39924484e-01
1.45000000e+04	1.75419997e-03	7.46456790e-04	4.31055378e-04	2.14404528e-04	3.62283230e-04	2.29014814e-01	1.67039797e-01	3.31811816e-01
1.46000000e+04	1.73339131e-03	6.39712031e-04	3.89514375e-04	1.92858235e-04	5.11306687e-04	2.23767176e-01	1.57904759e-01	3.18135411e-01
1.47000000e+04	1.84174895e-03	7.76029425e-04	4.15491901e-04	1.91142783e-04	4.59084869e-04	1.98760360e-01	1.52865186e-01	3.07887048e-01
1.48000000e+04	1.81327388e-03	6.66511594e-04	4.21649631e-04	1.96732406e-04	5.28380275e-04	1.96572989e-01	1.48341283e-01	3.00267845e-01
1.49000000e+04	1.54030835e-03	4.94116743e-04	3.35157994e-04	1.72737244e-04	5.38296299e-04	2.04527363e-01	1.47592112e-01	2.91169077e-01
1.50000000e+04	1.53444801e-03	4.78210539e-04	3.54632619e-04	1.82181873e-04	5.19422931e-04	1.99181318e-01	1.36255547e-01	2.80533135e-01
1.51000000e+04	1.31793832e-03	4.82157542e-04	3.17590981e-04	1.79254319e-04	3.38935526e-04	1.86152384e-01	1.35246545e-01	2.72438973e-01
1.52000000e+04	1.39647780e-03	5.89270378e-04	3.56292439e-04	1.79728915e-04	2.71186145e-04	1.69311911e-01	1.33550555e-01	2.63515681e-01
1.53000000e+04	1.34908012e-03	5.06909040e-04	3.39810649e-04	1.75856738e-04	3.26503738e-04	1.68235898e-01	1.32443592e-01	2.59906322e-01
1.54000000e+04	1.17975310e-03	4.19835094e-04	3.01781838e-04	1.68574566e-04	2.89561547e-04	1.63570508e-01	1.25072926e-01	2.47753650e-01
1.55000000e+04	1.18916307e-03	4.08972119e-04	3.25678877e-04	1.64099736e-04	2.90412339e-04	1.65171713e-01	1.27629817e-01	2.42829025e-01
1.56000000e+04	1.18906703e-03	3.78071301e-04	2.76277628e-04	1.48768406e-04	3.85949766e-04	1.56148851e-01	1.17929660e-01	2.39305586e-01
1.57000000e+04	1.50875491e-03	4.54647903e-04	3.49617418e-04	1.69442894e-04	5.35046682e-04	1.37588546e-01	1.17726386e-01	2.24327669e-01
1.58000000e+04	1.10479444e-03	3.64656094e-04	2.98924715e-04	1.47470782e-04	2.93742924e-04	1.43120438e-01	1.10468894e-01	2.27660462e-01
1.59000000e+04	1.11486099e-03	3.62215360e-04	2.70443852e-04	1.59298463e-04	3.22903245e-04	1.32187933e-01	1.08808421e-01	2.15184465e-01
1.60000000e+04	9.67768254e-04	3.44810134e-04	2.61326699e-04	1.41530589e-04	2.20100876e-04	1.38254404e-01	1.08496509e-01	2.22250804e-01
1.61000000e+04	8.22875067e-04	3.12233577e-04	2.25719588e-04	1.30959175e-04	1.53962741e-04	1.28580511e-01	1.08115315e-01	2.07282662e-01
1.62000000e+04	1.10690470e-03	3.20267922e-04	2.39247413e-04	1.34490110e-04	4.12899215e-04	1.21516474e-01	1.05485469e-01	1.98811531e-01
1.63000000e+04	9.67038271e-04	2.99335195e-04	2.22568953e-04	1.38681935e-04	3.06452217e-04	1.21325776e-01	1.01990633e-01	1.94152817e-01
1.64000000e+04	1.41994655e-03	3.21330444e-04	2.24699106e-04	1.39857570e-04	7.34059489e-04	1.09657556e-01	9.77571234e-02	1.86033487e-01
1.65000000e+04	9.39715886e-04	2.86230061e-04	2.28872770e-04	1.25761901e-04	2.98851170e-04	1.04888014e-01	9.72576067e-02	1.85916111e-01
1.66000000e+04	7.34542788e-04	2.69381155e-04	2.16295855e-04	1.22876663e-04	1.25989143e-04	1.08938612e-01	9.28839967e-02	1.82047874e-01
1.67000000e+04	6.64101331e-04	2.42850016e-04	1.78241593e-04	1.21179437e-04	1.21830264e-04	1.08250000e-01	9.76989269e-02	1.77502692e-01
1.68000000e+04	7.13505724e-04	2.34530104e-04	1.82732343e-04	1.19369281e-04	1.76873989e-04	1.04512289e-01	9.18753222e-02	1.77279666e-01
1.69000000e+04	7.97847752e-04	2.13009451e-04	2.07471487e-04	1.17372321e-04	2.59994558e-04	9.62129906e-02	8.88024271e-02	1.69243172e-01
1.70000000e+04	7.89456652e-04	2.06048484e-04	1.99734030e-04	1.17889474e-04	2.65784678e-04	1.02396108e-01	1.11505866e-01	1.68058306e-01
