# iteration  l2_NN  l2_FF  l2_ST_FF
9.900000e+03 1.000169e+00 1.000016e+00 1.309967e-02
1.000000e+04 1.000026e+00 9.999978e-01 1.004035e-02
1.010000e+04 1.000010e+00 9.999978e-01 1.070751e-02
1.020000e+04 1.000966e+00 9.999967e-01 8.632466e-03
1.030000e+04 1.002341e+00 1.000025e+00 1.497127e-02
1.040000e+04 1.000795e+00 1.000019e+00 2.002285e-02
1.050000e+04 1.000010e+00 1.000013e+00 1.053350e-02
1.060000e+04 1.001649e+00 1.000011e+00 8.502405e-03
1.070000e+04 1.000902e+00 1.000053e+00 8.282434e-03
1.080000e+04 1.000703e+00 9.999974e-01 9.488639e-03
1.090000e+04 1.000269e+00 1.000002e+00 8.852703e-03
1.100000e+04 1.000122e+00 1.000002e+00 9.960942e-03
1.110000e+04 1.000869e+00 1.000034e+00 8.492545e-03
1.120000e+04 1.000312e+00 1.000022e+00 7.682997e-03
1.130000e+04 1.000365e+00 9.999975e-01 8.846138e-03
1.140000e+04 1.000111e+00 1.000002e+00 1.122879e-02
1.150000e+04 1.000394e+00 1.000011e+00 8.391943e-03
1.160000e+04 1.000628e+00 1.000108e+00 8.845295e-03
1.170000e+04 1.000069e+00 1.000005e+00 1.243178e-02
1.180000e+04 1.000181e+00 1.000007e+00 7.440959e-03
1.190000e+04 1.000077e+00 1.000006e+00 9.346984e-03
1.200000e+04 1.000421e+00 1.000113e+00 6.270957e-03
1.210000e+04 1.002290e+00 1.000010e+00 8.629024e-03
1.220000e+04 1.000205e+00 9.999985e-01 1.461903e-02
1.230000e+04 1.000184e+00 9.999983e-01 7.544302e-03
1.240000e+04 1.000004e+00 9.999981e-01 1.115150e-02
1.250000e+04 1.001565e+00 1.000003e+00 7.936439e-03
1.260000e+04 1.000065e+00 1.000006e+00 9.209532e-03
1.270000e+04 1.000563e+00 1.000000e+00 6.694502e-03
1.280000e+04 1.000221e+00 1.000046e+00 8.055041e-03
1.290000e+04 1.001297e+00 1.000062e+00 6.220430e-03
1.300000e+04 1.000003e+00 1.000034e+00 6.424483e-03
1.310000e+04 1.000030e+00 1.000009e+00 1.073642e-02
1.320000e+04 1.000308e+00 1.000009e+00 7.875365e-03
1.330000e+04 1.000132e+00 1.000032e+00 6.056644e-03
1.340000e+04 1.000211e+00 9.999988e-01 6.700906e-03
1.350000e+04 1.000040e+00 1.000013e+00 7.283833e-03
1.360000e+04 1.000189e+00 1.000002e+00 7.328302e-03
1.370000e+04 1.000242e+00 1.000031e+00 6.800171e-03
1.380000e+04 1.000147e+00 1.000024e+00 5.356398e-03
1.390000e+04 1.000058e+00 1.000089e+00 1.046838e-02
1.400000e+04 1.000000e+00 9.999998e-01 6.866599e-03
1.410000e+04 1.000024e+00 9.999991e-01 7.810928e-03
1.420000e+04 1.000002e+00 9.999995e-01 6.959373e-03
1.430000e+04 1.000010e+00 9.999986e-01 8.294861e-03
1.440000e+04 1.000163e+00 1.000003e+00 6.553046e-03
1.450000e+04 1.000309e+00 1.000027e+00 9.747817e-03
1.460000e+04 1.000147e+00 9.999983e-01 5.231926e-03
1.470000e+04 1.000723e+00 1.000022e+00 7.770610e-03
1.480000e+04 1.000020e+00 1.000033e+00 7.958392e-03
1.490000e+04 1.000331e+00 1.000001e+00 8.089276e-03
1.500000e+04 1.000115e+00 1.000176e+00 7.318446e-03
1.510000e+04 1.001654e+00 1.000023e+00 6.543098e-03
1.520000e+04 1.000283e+00 1.000035e+00 5.674038e-03
1.530000e+04 1.000050e+00 1.000114e+00 5.650043e-03
1.540000e+04 1.000273e+00 1.000004e+00 6.870975e-03
1.550000e+04 1.000006e+00 1.000001e+00 7.586122e-03
1.560000e+04 1.000189e+00 1.000102e+00 1.060238e-02
1.570000e+04 1.002263e+00 1.000098e+00 5.496151e-03
