method,total_params,total_time_sec,best_l2_error,final_l2_error,ms_per_epoch
SVSNN_accel,2688,41.59,3.947075e-03,4.338618e-03,4.16
SVSNN_orig,2688,52.55,4.083409e-03,4.281355e-03,5.26
SPINN,136896,125.00,2.550027e-01,6.764964e-01,12.50
SIREN,99395,66.03,1.536002e-01,1.540304e-01,6.60
FourierPINN,82883,24.54,1.680822e-01,1.832231e-01,2.45
PINN,50435,24.66,2.407143e-01,2.428087e-01,2.47
