# iteration  loss_bcs  loss_res  l2_error
9.900000e+03 8.413641e-08 1.273566e-03 1.224713e-03
1.000000e+04 5.473186e-09 1.145157e-03 8.572802e-05
1.010000e+04 4.378784e-05 8.352186e-03 9.322967e-03
1.020000e+04 9.775117e-05 1.632576e-02 1.370371e-02
1.030000e+04 3.073851e-08 1.120250e-03 7.320586e-04
1.040000e+04 7.682409e-05 1.310763e-02 8.130485e-03
1.050000e+04 8.175606e-09 1.047628e-03 2.603966e-05
1.060000e+04 1.019887e-06 1.188650e-03 8.329753e-04
1.070000e+04 1.658451e-06 2.363098e-03 3.293528e-04
1.080000e+04 3.852918e-12 9.997870e-04 1.309590e-04
1.090000e+04 1.244186e-07 1.014420e-03 1.271737e-04
1.100000e+04 3.823799e-05 2.805093e-02 1.733948e-02
1.110000e+04 7.535012e-08 9.690968e-04 3.485687e-04
1.120000e+04 1.098741e-07 9.694050e-04 5.640026e-04
1.130000e+04 2.031891e-07 1.114075e-03 1.681684e-03
1.140000e+04 1.457955e-08 9.307287e-04 3.165726e-04
1.150000e+04 3.242207e-07 9.486131e-04 2.187083e-04
1.160000e+04 1.899032e-09 8.938798e-04 5.114679e-05
1.170000e+04 3.517376e-08 1.207795e-03 1.177665e-03
1.180000e+04 4.272176e-09 8.712739e-04 1.783896e-04
1.190000e+04 6.315528e-05 1.192055e-02 9.512206e-04
1.200000e+04 2.092841e-09 8.690793e-04 5.000309e-04
1.210000e+04 3.849809e-10 8.421355e-04 3.012028e-05
1.220000e+04 5.749132e-06 1.800931e-03 2.290369e-03
1.230000e+04 2.404139e-09 8.191313e-04 7.584224e-05
1.240000e+04 3.588244e-08 8.457871e-04 7.079596e-04
1.250000e+04 2.474795e-09 8.005602e-04 1.445487e-03
1.260000e+04 1.269616e-09 7.900114e-04 5.074417e-05
1.270000e+04 4.977832e-07 9.313450e-04 4.837836e-03
1.280000e+04 2.433339e-05 5.155440e-03 2.972975e-03
1.290000e+04 9.759908e-09 7.635630e-04 2.947319e-05
1.300000e+04 1.017716e-05 2.669464e-03 1.062552e-03
1.310000e+04 3.690104e-07 1.732288e-03 1.486597e-03
1.320000e+04 3.662245e-08 7.402568e-04 1.638642e-04
1.330000e+04 1.294650e-07 7.973871e-04 6.630421e-04
1.340000e+04 5.868716e-09 7.385087e-04 4.400683e-04
1.350000e+04 3.643497e-04 7.385620e-02 1.497293e-02
1.360000e+04 3.187999e-05 5.544577e-02 2.297739e-02
1.370000e+04 8.710929e-09 6.990194e-04 1.336997e-04
1.380000e+04 8.730289e-07 1.045010e-03 2.670192e-03
1.390000e+04 4.406803e-09 7.001855e-04 6.404148e-04
1.400000e+04 1.459107e-07 8.812691e-04 6.147224e-04
1.410000e+04 3.367136e-07 7.163266e-04 9.658693e-04
1.420000e+04 1.109751e-06 1.606939e-03 7.103324e-04
1.430000e+04 1.296810e-04 2.532873e-02 9.443550e-03
1.440000e+04 1.041167e-08 6.471047e-04 7.842254e-05
1.450000e+04 2.628844e-08 7.678638e-04 8.602083e-04
1.460000e+04 1.106945e-07 6.617612e-04 3.754617e-04
1.470000e+04 1.409049e-05 8.281423e-02 2.596437e-02
1.480000e+04 2.032641e-05 4.308019e-03 5.431936e-03
1.490000e+04 4.070170e-05 9.406156e-03 1.055506e-03
1.500000e+04 2.191725e-08 6.106613e-04 1.271060e-04
1.510000e+04 2.912993e-08 6.545553e-04 4.454410e-04
1.520000e+04 8.379109e-07 7.647531e-04 8.895586e-04
1.530000e+04 9.518448e-10 5.988879e-04 3.208441e-04
1.540000e+04 1.824110e-04 3.160944e-02 1.297613e-02
1.550000e+04 9.813729e-07 7.692741e-04 1.468947e-03
1.560000e+04 1.690282e-08 5.813439e-04 2.831478e-04
1.570000e+04 1.548352e-06 9.059056e-04 1.967742e-03
1.580000e+04 5.511265e-08 5.767526e-04 3.768604e-04
1.590000e+04 4.885057e-07 3.483591e-03 5.212992e-03
1.600000e+04 3.546103e-07 6.106136e-04 5.106558e-04
1.610000e+04 8.909075e-07 6.880944e-04 5.983641e-04
1.620000e+04 4.865659e-07 3.157625e-03 4.039713e-03
1.630000e+04 2.911974e-07 5.948852e-04 7.617308e-04
1.640000e+04 1.103883e-04 5.689904e-02 2.438377e-02
1.650000e+04 1.371570e-04 2.824028e-02 1.892382e-02
1.660000e+04 1.380034e-09 5.245925e-04 3.212497e-05
1.670000e+04 1.038374e-06 6.834692e-04 3.175869e-03
1.680000e+04 3.033177e-07 6.129178e-04 1.145857e-03
1.690000e+04 7.261744e-06 3.733360e-03 1.455760e-03
1.700000e+04 2.249340e-06 1.865377e-03 4.848885e-03
1.710000e+04 8.255346e-06 2.987593e-03 5.381856e-03
1.720000e+04 2.932562e-06 1.517138e-03 3.929656e-03
1.730000e+04 3.866676e-09 5.000695e-04 1.486227e-04
1.740000e+04 4.735165e-06 1.350461e-03 7.399876e-04
1.750000e+04 8.599088e-07 1.277247e-03 3.464718e-03
1.760000e+04 1.254677e-08 4.870054e-04 2.452572e-04
1.770000e+04 5.740151e-07 5.800341e-04 1.358836e-03
1.780000e+04 3.824003e-06 8.507073e-03 1.085435e-02
1.790000e+04 1.165604e-04 2.134333e-02 5.631220e-03
1.800000e+04 1.112536e-08 4.693598e-04 6.141181e-05
1.810000e+04 1.498178e-08 4.706823e-04 2.083881e-03
1.820000e+04 2.800578e-08 4.749394e-04 7.887965e-04
1.830000e+04 9.735436e-05 2.384188e-02 1.287211e-02
1.840000e+04 4.167062e-06 1.269324e-03 1.728164e-03
1.850000e+04 2.741900e-04 6.356914e-02 2.243173e-02
1.860000e+04 8.036698e-07 1.632483e-03 3.374042e-03
1.870000e+04 9.373048e-05 2.071732e-02 4.890776e-03
1.880000e+04 2.105981e-06 3.329065e-03 6.114948e-03
1.890000e+04 3.873753e-09 4.425698e-04 2.167601e-04
1.900000e+04 2.232136e-07 4.810081e-04 7.760085e-04
1.910000e+04 4.126095e-09 4.467999e-04 1.936469e-04
1.920000e+04 2.362948e-05 4.967425e-03 7.753248e-03
1.930000e+04 1.516972e-05 3.233498e-02 2.020678e-02
1.940000e+04 8.269030e-09 4.256985e-04 4.970471e-05
1.950000e+04 7.566643e-06 3.260058e-02 1.948741e-02
1.960000e+04 2.096702e-07 4.705211e-04 3.253874e-03
1.970000e+04 1.424638e-11 4.162735e-04 8.125077e-05
1.980000e+04 1.939418e-07 4.417391e-04 1.205503e-04
1.990000e+04 6.973041e-07 5.218456e-04 1.539987e-03
2.000000e+04 8.333003e-06 2.011903e-03 4.454756e-03
2.010000e+04 1.559875e-05 3.947990e-02 2.193901e-02
2.020000e+04 2.628440e-10 4.048101e-04 1.642149e-04
2.030000e+04 2.956058e-06 9.230405e-04 2.520451e-03
2.040000e+04 5.242941e-06 6.271999e-03 5.210935e-03
2.050000e+04 8.122534e-10 3.964702e-04 1.239919e-04
2.060000e+04 2.599024e-07 4.319368e-04 1.989852e-04
2.070000e+04 2.627996e-05 7.229450e-02 2.056958e-02
2.080000e+04 3.041560e-06 9.671287e-04 2.572713e-03
2.090000e+04 2.958723e-08 3.904749e-04 2.167128e-04
2.100000e+04 3.306898e-06 9.846091e-03 4.824448e-03
2.110000e+04 9.298158e-07 5.418026e-04 1.404042e-03
2.120000e+04 6.505509e-05 1.164265e-02 7.286495e-03
2.130000e+04 1.521362e-05 2.562270e-02 1.616996e-02
2.140000e+04 2.431100e-05 5.064647e-03 7.619266e-03
2.150000e+04 5.056428e-09 3.736678e-04 1.028354e-04
2.160000e+04 1.692407e-07 6.507656e-04 2.482349e-03
2.170000e+04 1.451647e-06 6.372964e-04 1.209481e-03
2.180000e+04 8.169399e-05 3.963958e-02 1.178132e-02
2.190000e+04 2.506730e-05 4.572882e-03 5.109990e-03
2.200000e+04 4.027550e-04 6.817475e-02 2.480757e-02
2.210000e+04 3.164615e-06 2.109506e-02 1.470500e-02
2.220000e+04 6.701988e-08 3.752897e-04 4.349176e-04
2.230000e+04 2.823577e-08 3.646763e-04 4.352039e-04
2.240000e+04 2.684381e-08 4.031908e-04 2.404654e-04
2.250000e+04 5.111054e-09 3.593410e-04 7.742194e-04
2.260000e+04 6.921957e-06 1.200664e-02 4.647860e-03
2.270000e+04 6.284062e-06 1.680672e-03 1.301498e-03
2.280000e+04 2.671189e-08 3.547268e-04 2.362247e-04
2.290000e+04 6.600739e-06 1.928329e-03 4.775465e-03
2.300000e+04 6.058260e-09 3.488438e-04 1.982302e-04
2.310000e+04 4.962641e-06 1.208856e-03 2.385405e-04
2.320000e+04 7.283298e-08 5.718332e-04 1.129745e-03
2.330000e+04 2.971360e-05 5.375123e-03 8.228726e-03
2.340000e+04 2.269840e-06 7.813609e-03 7.331570e-03
2.350000e+04 1.564837e-06 1.024272e-02 9.514209e-03
2.360000e+04 3.540823e-05 6.225395e-03 4.873760e-03
2.370000e+04 3.091276e-07 2.277747e-03 6.692766e-03
2.380000e+04 1.461719e-04 2.669544e-02 1.641975e-02
2.390000e+04 9.039312e-10 3.302124e-04 1.218952e-04
2.400000e+04 4.308645e-06 1.848339e-03 1.992293e-03
2.410000e+04 1.045695e-08 3.274856e-04 4.896273e-05
2.420000e+04 3.823511e-07 3.850900e-04 9.094899e-04
2.430000e+04 2.338315e-06 2.645391e-03 1.941129e-03
2.440000e+04 2.083269e-05 4.135887e-03 3.036431e-03
2.450000e+04 1.763979e-09 3.282939e-04 3.083880e-04
2.460000e+04 2.152330e-04 4.118075e-02 2.039225e-02
2.470000e+04 8.142198e-09 3.224101e-04 2.072691e-04
2.480000e+04 1.594341e-06 7.135756e-04 2.430604e-03
2.490000e+04 1.750591e-07 3.555962e-04 8.374727e-04
2.500000e+04 4.840558e-04 9.100846e-02 2.214152e-02
2.510000e+04 2.395577e-05 4.879140e-02 2.273953e-02
2.520000e+04 4.787992e-11 3.108725e-04 1.152582e-04
2.530000e+04 2.219895e-08 3.157828e-04 1.158945e-03
2.540000e+04 2.232470e-07 4.984571e-04 1.180992e-03
2.550000e+04 2.576355e-06 8.279365e-04 2.737515e-03
2.560000e+04 1.447874e-08 3.122287e-04 3.200290e-04
2.570000e+04 6.990633e-08 3.185711e-04 4.629948e-04
2.580000e+04 4.052937e-05 3.411359e-02 1.563216e-02
2.590000e+04 9.111690e-05 1.909579e-02 1.632976e-02
2.600000e+04 4.102965e-09 3.052780e-04 1.995296e-04
2.610000e+04 5.851796e-06 2.896300e-03 3.991385e-03
2.620000e+04 1.106807e-04 2.847373e-02 1.656786e-02
2.630000e+04 1.375675e-09 2.977293e-04 1.127925e-04
2.640000e+04 2.578114e-07 3.751132e-04 1.164538e-03
2.650000e+04 3.911753e-06 1.321323e-03 5.064700e-03
2.660000e+04 3.135133e-08 2.967320e-04 1.714205e-04
2.670000e+04 2.343161e-08 2.970151e-04 3.790356e-04
2.680000e+04 1.302510e-06 3.217337e-03 6.560957e-03
2.690000e+04 1.210109e-06 5.537546e-04 1.627989e-03
2.700000e+04 4.174382e-08 2.989648e-04 3.571730e-04
2.710000e+04 5.895086e-07 5.045321e-04 5.874813e-04
2.720000e+04 1.698016e-07 3.358718e-04 5.853265e-04
2.730000e+04 9.277638e-06 4.328430e-03 2.133915e-03
2.740000e+04 2.386131e-07 3.540302e-04 4.094082e-04
2.750000e+04 4.892499e-06 1.531990e-03 2.796107e-03
2.760000e+04 2.311585e-07 9.243813e-04 2.362320e-03
2.770000e+04 9.175592e-06 1.891870e-03 2.478898e-03
2.780000e+04 4.670177e-09 2.844469e-04 2.632296e-04
2.790000e+04 1.851157e-09 2.805192e-04 1.153324e-04
2.800000e+04 2.389947e-07 3.114991e-04 1.071140e-03
2.810000e+04 3.215440e-09 2.772244e-04 1.348546e-04
2.820000e+04 1.571832e-05 3.174026e-03 5.970327e-03
2.830000e+04 2.384326e-08 2.776221e-04 8.837023e-05
2.840000e+04 2.363130e-04 6.695867e-02 2.746730e-02
2.850000e+04 9.118324e-07 6.572700e-04 2.468268e-03
2.860000e+04 7.556003e-09 2.734322e-04 7.389656e-05
2.870000e+04 4.745825e-08 2.802788e-04 3.905936e-04
2.880000e+04 3.470007e-08 4.171239e-04 1.336510e-03
2.890000e+04 6.446730e-08 2.823639e-04 2.840086e-04
2.900000e+04 4.480946e-05 3.964650e-02 1.639845e-02
2.910000e+04 1.260281e-04 2.621431e-02 9.094956e-03
2.920000e+04 1.230702e-08 2.674011e-04 1.232436e-04
2.930000e+04 2.918377e-05 5.539920e-03 5.176038e-03
2.940000e+04 4.675432e-08 3.671323e-04 5.365542e-04
2.950000e+04 1.048359e-05 1.867399e-02 1.433963e-02
2.960000e+04 1.355845e-04 2.596541e-02 1.835058e-02
2.970000e+04 8.063186e-10 2.606686e-04 3.845848e-05
2.980000e+04 2.318093e-06 2.633808e-03 2.522870e-03
2.990000e+04 5.860585e-09 2.589598e-04 5.452490e-05
3.000000e+04 1.835278e-07 2.943884e-04 2.153210e-04
3.010000e+04 1.395695e-05 2.977924e-02 1.515543e-02
3.020000e+04 4.217187e-07 3.374396e-04 1.007047e-03
3.030000e+04 5.744921e-08 2.670697e-04 4.032305e-04
3.040000e+04 7.193951e-07 2.536069e-03 1.816952e-03
3.050000e+04 3.512235e-05 7.095323e-03 6.053052e-03
3.060000e+04 4.708411e-09 2.525666e-04 4.046352e-05
3.070000e+04 7.089029e-06 1.685893e-03 3.797839e-03
3.080000e+04 3.682375e-08 2.558086e-04 1.730540e-04
3.090000e+04 2.017904e-07 2.812138e-04 9.384593e-05
3.100000e+04 9.008985e-08 4.328854e-04 1.580893e-03
3.110000e+04 3.739893e-06 8.971871e-04 3.868803e-04
3.120000e+04 2.894326e-06 9.085987e-03 4.133593e-03
3.130000e+04 4.310884e-04 8.052676e-02 2.585817e-02
3.140000e+04 9.149125e-09 2.500801e-04 2.129470e-04
3.150000e+04 6.443504e-10 2.482149e-04 4.256774e-04
3.160000e+04 5.571055e-07 3.421996e-04 1.175149e-03
3.170000e+04 2.525965e-05 7.056710e-02 2.745388e-02
3.180000e+04 2.949196e-04 5.499539e-02 2.323336e-02
3.190000e+04 2.815741e-08 2.452586e-04 1.571873e-04
3.200000e+04 1.844224e-06 1.187073e-03 8.139732e-03
3.210000e+04 2.063352e-05 3.884086e-03 5.925998e-03
3.220000e+04 7.781910e-09 2.397966e-04 7.139834e-05
3.230000e+04 1.144015e-07 2.561776e-04 6.924722e-04
3.240000e+04 2.721326e-06 2.190351e-03 2.203311e-03
3.250000e+04 3.117082e-08 2.443734e-04 3.062030e-04
3.260000e+04 2.402585e-07 2.827302e-04 5.642733e-04
3.270000e+04 1.017523e-06 3.737674e-03 7.911317e-03
3.280000e+04 1.946835e-06 5.719861e-04 2.519922e-03
3.290000e+04 5.005766e-05 9.423947e-03 1.059907e-02
3.300000e+04 2.305027e-07 1.282128e-03 8.426910e-04
3.310000e+04 1.564425e-07 2.644747e-04 6.212683e-04
3.320000e+04 4.820615e-06 4.243762e-03 7.857014e-03
3.330000e+04 9.285550e-10 2.328535e-04 1.831276e-04
3.340000e+04 2.802979e-05 5.317383e-03 4.401119e-03
3.350000e+04 2.910389e-06 3.288962e-03 7.075311e-03
3.360000e+04 6.263612e-11 2.292972e-04 8.081006e-05
3.370000e+04 8.129850e-07 3.899116e-04 1.085553e-03
3.380000e+04 1.096331e-07 3.318432e-04 1.086383e-03
3.390000e+04 2.693699e-07 2.892515e-04 9.013676e-04
3.400000e+04 3.645995e-07 5.801421e-04 2.292295e-03
3.410000e+04 5.610801e-10 2.258325e-04 1.680038e-04
3.420000e+04 1.297804e-06 1.568015e-03 4.584884e-03
3.430000e+04 1.424576e-05 3.124375e-03 4.879222e-03
3.440000e+04 4.357294e-06 1.087785e-03 2.533886e-03
3.450000e+04 1.918404e-05 3.913645e-02 2.062423e-02
3.460000e+04 1.809306e-06 5.974279e-04 1.704594e-03
3.470000e+04 2.490797e-06 6.355724e-04 1.269953e-03
3.480000e+04 1.892498e-08 2.336396e-04 4.141253e-04
3.490000e+04 2.800258e-08 2.254588e-04 2.836675e-04
3.500000e+04 1.261929e-07 3.812779e-04 9.865067e-04
3.510000e+04 4.139323e-04 8.100364e-02 2.858804e-02
3.520000e+04 1.265187e-08 2.253872e-04 2.936200e-04
3.530000e+04 1.562335e-08 2.390077e-04 2.514934e-04
3.540000e+04 4.547045e-05 8.343161e-03 1.146347e-02
3.550000e+04 3.052186e-09 2.169394e-04 9.916854e-05
3.560000e+04 7.936534e-08 3.021616e-04 2.170286e-04
3.570000e+04 2.996250e-07 2.973279e-04 3.202739e-04
3.580000e+04 4.979188e-09 2.144777e-04 5.515838e-05
3.590000e+04 1.504874e-06 1.955782e-03 4.912610e-03
3.600000e+04 3.340945e-09 2.176592e-04 1.903160e-04
3.610000e+04 2.071954e-07 2.633797e-04 1.111875e-03
3.620000e+04 3.959229e-08 2.273122e-04 2.707267e-04
3.630000e+04 1.310858e-05 6.971838e-03 4.568305e-03
3.640000e+04 6.859189e-06 1.536970e-03 3.277881e-03
3.650000e+04 4.396784e-05 8.296547e-03 9.763246e-03
3.660000e+04 1.362016e-06 1.793691e-03 9.562646e-03
3.670000e+04 1.950917e-09 2.092745e-04 4.839539e-05
3.680000e+04 1.799364e-07 2.372087e-04 7.376744e-04
3.690000e+04 2.297965e-08 2.655706e-04 3.197805e-03
3.700000e+04 2.247944e-10 2.069564e-04 3.105913e-05
3.710000e+04 6.006005e-06 1.242202e-03 1.234541e-03
3.720000e+04 1.340303e-08 2.294492e-04 6.003328e-04
3.730000e+04 6.940759e-10 2.055238e-04 2.327412e-04
3.740000e+04 1.468482e-05 2.992952e-03 6.033993e-03
3.750000e+04 3.049596e-08 2.107138e-04 1.485483e-04
3.760000e+04 9.740464e-09 2.653573e-04 1.490647e-03
3.770000e+04 5.307314e-06 1.240463e-03 3.597819e-03
3.780000e+04 8.972582e-08 2.152985e-04 2.899857e-04
3.790000e+04 5.059583e-08 2.810730e-04 7.463385e-04
3.800000e+04 2.741605e-05 5.063361e-03 4.891287e-03
3.810000e+04 1.316507e-05 3.004239e-02 8.971031e-03
3.820000e+04 1.038224e-08 2.025268e-04 1.219264e-04
3.830000e+04 6.556088e-08 2.090776e-04 1.469239e-04
3.840000e+04 7.128999e-07 6.775735e-04 1.990614e-03
3.850000e+04 3.929575e-06 9.653862e-04 3.152542e-03
3.860000e+04 1.070564e-08 2.012671e-04 3.980917e-05
3.870000e+04 6.138847e-06 7.732162e-03 7.209791e-03
3.880000e+04 4.064667e-04 7.846517e-02 2.436647e-02
3.890000e+04 8.672174e-12 1.966463e-04 2.157070e-05
3.900000e+04 9.585161e-07 1.602080e-03 1.892952e-03
3.910000e+04 1.719422e-06 5.313049e-04 1.784335e-03
3.920000e+04 1.298814e-05 2.612445e-03 5.353365e-03
3.930000e+04 8.324230e-09 1.972509e-04 9.570845e-05
3.940000e+04 1.831779e-08 1.989814e-04 2.345268e-04
3.950000e+04 3.597842e-07 2.659139e-04 1.055919e-03
3.960000e+04 6.861220e-07 8.015314e-04 6.920938e-03
3.970000e+04 1.878056e-07 2.321492e-04 4.745399e-03
3.980000e+04 3.246388e-09 1.923251e-04 7.368661e-05
3.990000e+04 3.932079e-06 9.153667e-04 2.293196e-03
4.000000e+04 9.389412e-06 2.380660e-03 4.695159e-03
